estimator,configuration,feature_selection,precision,recall,f1-measure,auc-roc,brier score
LinearDiscriminantAnalysis,{},chi2_20p,0.3807615230460922,0.159798149705635,0.22511848341232227,0.5452111538829028,0.23179160021265285
QuadraticDiscriminantAnalysis,{},chi2_20p,0.3807615230460922,0.159798149705635,0.22511848341232227,0.5452111538829028,0.23179160021265285
LogisticRegression,{'C': 1.0},chi2_20p,0.3807615230460922,0.159798149705635,0.22511848341232227,0.5452111538829028,0.23179160021265285
LogisticRegression,{'C': 10000.0},chi2_20p,0.3807615230460922,0.159798149705635,0.22511848341232227,0.5452111538829028,0.23179160021265285
BernoulliNaiveBayes,{},chi2_20p,0.3807615230460922,0.159798149705635,0.22511848341232227,0.5452111538829028,0.23179160021265285
DecisionTree,{'criterion': 'gini'},chi2_20p,0.3842887473460722,0.15222876366694701,0.21807228915662652,0.5435593750979548,0.2300194931773879
DecisionTree,{'criterion': 'entropy'},chi2_20p,0.3842887473460722,0.15222876366694701,0.21807228915662652,0.5435593750979548,0.2300194931773879
RandomForest,{'n_estimators': 10},chi2_20p,0.3855932203389831,0.15306980656013458,0.21914509331727874,0.5439798965445487,0.22984228247386143
RandomForest,{'n_estimators': 100},chi2_20p,0.3855932203389831,0.15306980656013458,0.21914509331727874,0.5439798965445487,0.22984228247386143
SupportVectorMachine,{'C': 0.1},chi2_20p,0.3842887473460722,0.15222876366694701,0.21807228915662652,0.5435593750979548,0.2300194931773879
LinearDiscriminantAnalysis,{},chi2_50p,0.3412816691505216,0.19259882253994953,0.24623655913978496,0.5466810906592877,0.2484494063441432
LogisticRegression,{'C': 1.0},chi2_50p,0.3387334315169367,0.1934398654331371,0.24625267665952896,0.5463158015984724,0.24951267056530213
LogisticRegression,{'C': 10000.0},chi2_50p,0.3412816691505216,0.19259882253994953,0.24623655913978496,0.5466810906592877,0.2484494063441432
BernoulliNaiveBayes,{},chi2_50p,0.3387334315169367,0.1934398654331371,0.24625267665952896,0.5463158015984724,0.24951267056530213
DecisionTree,{'criterion': 'gini'},chi2_50p,0.3374233128834356,0.18502943650126155,0.2390005431830527,0.5440189840790995,0.2482721956406167
DecisionTree,{'criterion': 'entropy'},chi2_50p,0.33843797856049007,0.18587047939444912,0.23995656894679696,0.5444395055256934,0.2480949849370902
RandomForest,{'n_estimators': 100},chi2_50p,0.33843797856049007,0.18587047939444912,0.23995656894679696,0.5444395055256934,0.2480949849370902
SupportVectorMachine,{'C': 0.1},chi2_50p,0.3395638629283489,0.18334735071488645,0.2381212452211906,0.5440760103372366,0.24720893141945774
SupportVectorMachine,{'C': 100},chi2_50p,0.33692307692307694,0.184188393608074,0.23817292006525287,0.5437107212764213,0.2482721956406167
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",chi2_50p,0.34135338345864663,0.19091673675357443,0.24487594390507011,0.5462890823417625,0.2480949849370902
LinearDiscriminantAnalysis,{},mutual_info_classif_20p,0.24933967247754887,0.3969722455845248,0.30629461388708634,0.5389665897882211,0.37887648413964203
LogisticRegression,{'C': 1.0},mutual_info_classif_20p,0.24933967247754887,0.3969722455845248,0.30629461388708634,0.5389665897882211,0.37887648413964203
LogisticRegression,{'C': 10000.0},mutual_info_classif_20p,0.24933967247754887,0.3969722455845248,0.30629461388708634,0.5389665897882211,0.37887648413964203
BernoulliNaiveBayes,{},mutual_info_classif_20p,0.24933967247754887,0.3969722455845248,0.30629461388708634,0.5389665897882211,0.37887648413964203
QuadraticDiscriminantAnalysis,{},mutual_info_classif_20p,0.7727272727272727,0.014297729184188394,0.028075970272502068,0.5065875713725163,0.20857699805068225
LogisticRegression,{'C': 0.0001},mutual_info_classif_20p,0.24907651715039578,0.3969722455845248,0.3060959792477302,0.53874207250039,0.37923090554669503
RandomForest,{'n_estimators': 10},mutual_info_classif_20p,0.27188465499485065,0.2220353238015139,0.24444444444444446,0.5316508006524409,0.2892078681552366
K-NearestNeighbor,{},mutual_info_classif_20p,0.2716236722306525,0.1505466778805719,0.19372294372294374,0.5213891898608068,0.2640439482544746
SupportVectorMachine,{'C': 0.1},mutual_info_classif_20p,0.24907651715039578,0.3969722455845248,0.3060959792477302,0.53874207250039,0.37923090554669503
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",mutual_info_classif_20p,0.27188465499485065,0.2220353238015139,0.24444444444444446,0.5316508006524409,0.2892078681552366
QuadraticDiscriminantAnalysis,{},mutual_info_classif_50p,0.2117943185904351,0.990748528174937,0.348985335505851,0.5032323691615592,0.7788410419989368
K-NearestNeighbor,{},mutual_info_classif_50p,0.0,0.0,0.0,0.5,0.21070352649300017
DecisionTree,{'criterion': 'gini'},mutual_info_classif_50p,0.2852193995381062,0.2077375946173255,0.24038929440389295,0.5343806967249178,0.27662590820485555
DecisionTree,{'criterion': 'entropy'},mutual_info_classif_50p,0.2852193995381062,0.2077375946173255,0.24038929440389295,0.5343806967249178,0.27662590820485555
SupportVectorMachine,{'C': 100},mutual_info_classif_50p,0.2852193995381062,0.2077375946173255,0.24038929440389295,0.5343806967249178,0.27662590820485555
RandomForest,{'n_estimators': 100},mutual_info_classif_50p,0.2852193995381062,0.2077375946173255,0.24038929440389295,0.5343806967249178,0.27662590820485555
RandomForest,{'n_estimators': 10},mutual_info_classif_50p,0.2852193995381062,0.2077375946173255,0.24038929440389295,0.5343806967249178,0.27662590820485555
