estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
RandomForest,0.48440065681444994,0.5282619263676432,0.600328947368421,0.03086047346326282,,,10,,
MultilayerPerceptron,0.4827586206896552,0.5267811230662864,0.5707236842105263,0.02397522099829044,,,,tanh,"(17, 8, 17)"
RandomForest,0.4827586206896552,0.5179008944775733,0.5533661740558292,0.02074309164539731,,,100,,
SupportVectorMachine,0.4720394736842105,0.5157613862241812,0.5533661740558292,0.023805960440207403,100,,,,
DecisionTree,0.4720394736842105,0.5152687753867428,0.5533661740558292,0.02439163182377012,,gini,,,
DecisionTree,0.4720394736842105,0.5152687753867428,0.5533661740558292,0.02439163182377012,,entropy,,,
SupportVectorMachine,0.4720394736842105,0.5149403681617837,0.5533661740558292,0.02460511858444376,0.1,,,,
MultilayerPerceptron,0.4786184210526316,0.5139554165586381,0.5500821018062397,0.021279233552576687,,,,relu,"(17, 8, 17)"
K-NearestNeighbor,0.49261083743842365,0.5137952640221244,0.5287356321839081,0.010847256704696408,,,,,
LogisticRegression,0.4696223316912972,0.5095216489499612,0.5566502463054187,0.02325969760287508,1.0,,,,
LinearDiscriminantAnalysis,0.4696223316912972,0.508043816437646,0.5566502463054187,0.023191647116182424,,,,,
LogisticRegression,0.4696223316912972,0.508043816437646,0.5566502463054187,0.023191647116182424,10000.0,,,,
QuadraticDiscriminantAnalysis,0.4095394736842105,0.5013017457436695,0.5221674876847291,0.031276682646923744,,,,,
BernoulliNaiveBayes,0.4144736842105263,0.5003186846426411,0.535303776683087,0.035845194213206144,,,,,
LogisticRegression,0.4144736842105263,0.497855630455449,0.5385878489326765,0.036888079509066696,0.0001,,,,
