estimator,configuration,feature_selection,precision,recall,f1-measure,auc-roc,brier score
RandomForest,{'n_estimators': 10},chi2_20p,0.3611650485436893,0.1564339781328848,0.2183098591549296,0.5412838952182161,0.23604465709728867
SupportVectorMachine,{'C': 0.1},chi2_20p,0.36363636363636365,0.1581160639192599,0.22039859320046892,0.5421249381114036,0.2356902356902357
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",chi2_20p,0.3881856540084388,0.15475189234650968,0.2212868310282622,0.5448209394377361,0.22948786106680844
DecisionTree,{'criterion': 'gini'},chi2_20p,0.35992217898832685,0.15559293523969722,0.21726365237815617,0.5408633737716223,0.23622186780081517
DecisionTree,{'criterion': 'entropy'},chi2_20p,0.3611650485436893,0.1564339781328848,0.2183098591549296,0.5412838952182161,0.23604465709728867
RandomForest,{'n_estimators': 100},chi2_20p,0.3611650485436893,0.1564339781328848,0.2183098591549296,0.5412838952182161,0.23604465709728867
SupportVectorMachine,{'C': 100},chi2_20p,0.35992217898832685,0.15559293523969722,0.21726365237815617,0.5408633737716223,0.23622186780081517
LinearDiscriminantAnalysis,{},chi2_20p,0.3807615230460922,0.159798149705635,0.22511848341232227,0.5452111538829028,0.23179160021265285
LogisticRegression,{'C': 1.0},chi2_20p,0.3807615230460922,0.159798149705635,0.22511848341232227,0.5452111538829028,0.23179160021265285
LogisticRegression,{'C': 10000.0},chi2_20p,0.3807615230460922,0.159798149705635,0.22511848341232227,0.5452111538829028,0.23179160021265285
SupportVectorMachine,{'C': 0.1},chi2_50p,0.3395638629283489,0.18334735071488645,0.2381212452211906,0.5440760103372366,0.24720893141945774
SupportVectorMachine,{'C': 100},chi2_50p,0.33692307692307694,0.184188393608074,0.23817292006525287,0.5437107212764213,0.2482721956406167
DecisionTree,{'criterion': 'gini'},chi2_50p,0.3374233128834356,0.18502943650126155,0.2390005431830527,0.5440189840790995,0.2482721956406167
DecisionTree,{'criterion': 'entropy'},chi2_50p,0.3374233128834356,0.18502943650126155,0.2390005431830527,0.5440189840790995,0.2482721956406167
LogisticRegression,{'C': 1.0},chi2_50p,0.3387334315169367,0.1934398654331371,0.24625267665952896,0.5463158015984724,0.24951267056530213
LinearDiscriminantAnalysis,{},chi2_50p,0.3412816691505216,0.19259882253994953,0.24623655913978496,0.5466810906592877,0.2484494063441432
LogisticRegression,{'C': 10000.0},chi2_50p,0.3412816691505216,0.19259882253994953,0.24623655913978496,0.5466810906592877,0.2484494063441432
RandomForest,{'n_estimators': 10},chi2_50p,0.33843797856049007,0.18587047939444912,0.23995656894679696,0.5444395055256934,0.2480949849370902
RandomForest,{'n_estimators': 100},chi2_50p,0.33843797856049007,0.18587047939444912,0.23995656894679696,0.5444395055256934,0.2480949849370902
BernoulliNaiveBayes,{},chi2_50p,0.3387334315169367,0.1934398654331371,0.24625267665952896,0.5463158015984724,0.24951267056530213
K-NearestNeighbor,{},mutual_info_classif_20p,0.20915150423347145,0.9764507989907485,0.34451038575667653,0.49540995270597143,0.7829168881800461
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",mutual_info_classif_20p,0.3548387096774194,0.009251471825063078,0.0180327868852459,0.50238056303422,0.21229842282473863
QuadraticDiscriminantAnalysis,{},mutual_info_classif_20p,0.3548387096774194,0.009251471825063078,0.0180327868852459,0.50238056303422,0.21229842282473863
BernoulliNaiveBayes,{},mutual_info_classif_20p,0.24268054651919324,0.3137089991589571,0.2736610418195158,0.5261854380617417,0.3508771929824561
LogisticRegression,{'C': 0.0001},mutual_info_classif_20p,0.2455128205128205,0.32211942809083266,0.2786467806475082,0.5289312901567769,0.3514088250930356
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",mutual_info_classif_20p,0.21023339317773787,0.9848612279226241,0.346500961680722,0.49860483937666905,0.7827396774765196
SupportVectorMachine,{'C': 100},mutual_info_classif_20p,0.24497731691510044,0.31791421362489486,0.2767203513909224,0.528175786650795,0.3501683501683502
DecisionTree,{'criterion': 'gini'},mutual_info_classif_20p,0.24497731691510044,0.31791421362489486,0.2767203513909224,0.528175786650795,0.3501683501683502
DecisionTree,{'criterion': 'entropy'},mutual_info_classif_20p,0.24497731691510044,0.31791421362489486,0.2767203513909224,0.528175786650795,0.3501683501683502
LinearDiscriminantAnalysis,{},mutual_info_classif_20p,0.24268054651919324,0.3137089991589571,0.2736610418195158,0.5261854380617417,0.3508771929824561
RandomForest,{'n_estimators': 10},mutual_info_classif_50p,0.20159399906235348,0.7232968881412952,0.31530705774518786,0.479295502894177,0.6618819776714514
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",mutual_info_classif_50p,0.34011627906976744,0.09840201850294365,0.15264187866927595,0.5237182970826348,0.2301967038809144
RandomForest,{'n_estimators': 100},mutual_info_classif_50p,0.20164126611957797,0.7232968881412952,0.31536486982031536,0.4794077615380926,0.6617047669679249
SupportVectorMachine,{'C': 100},mutual_info_classif_50p,0.19976387249114522,0.7115222876366695,0.31194690265486724,0.47531659958842903,0.6613503455608719
DecisionTree,{'criterion': 'gini'},mutual_info_classif_50p,0.20032995522036295,0.7148864592094197,0.31296023564064795,0.47654965079914186,0.6613503455608719
DecisionTree,{'criterion': 'entropy'},mutual_info_classif_50p,0.20032995522036295,0.7148864592094197,0.31296023564064795,0.47654965079914186,0.6613503455608719
SupportVectorMachine,{'C': 0.1},mutual_info_classif_50p,0.20136438485062338,0.719932716568545,0.31470588235294117,0.4788482621908733,0.6606415027467659
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",mutual_info_classif_50p,0.20201546754159833,0.7249789739276703,0.3159824046920821,0.48024880443128015,0.6613503455608719
K-NearestNeighbor,{},mutual_info_classif_50p,0.3247588424437299,0.08494533221194281,0.13466666666666666,0.5188983508836994,0.2300194931773879
LogisticRegression,{'C': 1.0},mutual_info_classif_50p,0.34026745913818723,0.19259882253994953,0.2459720730397422,0.5464565733714566,0.24880382775119617
SupportVectorMachine,{'C': 100},f_classif_20,0.3842887473460722,0.15222876366694701,0.21807228915662652,0.5435593750979548,0.2300194931773879
DecisionTree,{'criterion': 'gini'},f_classif_20,0.3855932203389831,0.15306980656013458,0.21914509331727874,0.5439798965445487,0.22984228247386143
DecisionTree,{'criterion': 'entropy'},f_classif_20,0.3855932203389831,0.15306980656013458,0.21914509331727874,0.5439798965445487,0.22984228247386143
RandomForest,{'n_estimators': 10},f_classif_20,0.3881856540084388,0.15475189234650968,0.2212868310282622,0.5448209394377361,0.22948786106680844
LinearDiscriminantAnalysis,{},f_classif_20,0.3807615230460922,0.159798149705635,0.22511848341232227,0.5452111538829028,0.23179160021265285
LogisticRegression,{'C': 1.0},f_classif_20,0.3807615230460922,0.159798149705635,0.22511848341232227,0.5452111538829028,0.23179160021265285
LogisticRegression,{'C': 10000.0},f_classif_20,0.3807615230460922,0.159798149705635,0.22511848341232227,0.5452111538829028,0.23179160021265285
