estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
SupportVectorMachine,0.4860426929392447,0.5420566502463053,0.5927750410509032,0.02860982682422434,0.1,,,,
MultilayerPerceptron,0.4909688013136289,0.537291234551897,0.5789473684210527,0.02732754924589724,,,,relu,"(17, 8, 17)"
SupportVectorMachine,0.49261083743842365,0.5371262207242244,0.5747126436781609,0.023801906690814768,100,,,,
RandomForest,0.48932676518883417,0.5363049325900959,0.5747126436781609,0.023918127893275923,,,100,,
DecisionTree,0.48932676518883417,0.535976525365137,0.5747126436781609,0.023985888495429424,,gini,,,
DecisionTree,0.48932676518883417,0.535976525365137,0.5747126436781609,0.023985888495429424,,entropy,,,
RandomForest,0.4860426929392447,0.5348254796473944,0.5747126436781609,0.024526924602230497,,,10,,
LogisticRegression,0.47126436781609193,0.5279208257713248,0.5566502463054187,0.027333061025888877,1.0,,,,
LinearDiscriminantAnalysis,0.47126436781609193,0.5277566221588453,0.5566502463054187,0.027332605111282243,,,,,
LogisticRegression,0.47126436781609193,0.5277566221588453,0.5566502463054187,0.027332605111282243,10000.0,,,,
MultilayerPerceptron,0.4909688013136289,0.5254585817993259,0.5451559934318555,0.015310542996047944,,,,tanh,"(17, 8, 17)"
BernoulliNaiveBayes,0.4292763157894737,0.5131325079941232,0.5566502463054187,0.039631365361730744,,,,,
K-NearestNeighbor,0.4876847290640394,0.5116641279923948,0.5296052631578947,0.010811354834411913,,,,,
QuadraticDiscriminantAnalysis,0.4506578947368421,0.5100088583527785,0.5336617405582923,0.02245113041457938,,,,,
LogisticRegression,0.4144736842105263,0.4958892381816611,0.5509868421052632,0.03867123373282739,0.0001,,,,
