estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
SupportVectorMachine,0.5082236842105263,0.5408991228070176,0.5763546798029556,0.022584701924406394,100,,,,
DecisionTree,0.506578947368421,0.5400778346728892,0.5763546798029556,0.023598375433781807,,entropy,,,
DecisionTree,0.5049342105263158,0.5399133609886786,0.5763546798029556,0.023835816710839477,,gini,,,
MultilayerPerceptron,0.5098684210526315,0.5394212902947023,0.5845648604269293,0.024912203725898592,,,,relu,"(17, 8, 17)"
RandomForest,0.49917898193760263,0.5390942334283986,0.5756578947368421,0.025383430654835153,,,10,,
SupportVectorMachine,0.5073891625615764,0.5349880628294875,0.5927750410509032,0.02639899807032423,0.1,,,,
RandomForest,0.5049342105263158,0.5333452164894996,0.5763546798029556,0.02215060538573554,,,100,,
MultilayerPerceptron,0.49589490968801314,0.5280901607466942,0.5509868421052632,0.015725007283496253,,,,tanh,"(17, 8, 17)"
LinearDiscriminantAnalysis,0.47368421052631576,0.5178957631146833,0.541871921182266,0.020589239404055635,,,,,
LogisticRegression,0.47368421052631576,0.5178957631146833,0.541871921182266,0.020589239404055635,10000.0,,,,
