estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
SupportVectorMachine,0.5205254515599343,0.5340020309394176,0.5566502463054187,0.011250702163032126,0.1,,,,
SupportVectorMachine,0.5205254515599343,0.5340020309394176,0.5566502463054187,0.011250702163032126,100,,,,
DecisionTree,0.5205254515599343,0.5336730835709965,0.5566502463054187,0.01120604659016531,,gini,,,
DecisionTree,0.5205254515599343,0.5336730835709965,0.5566502463054187,0.01120604659016531,,entropy,,,
LogisticRegression,0.5205254515599343,0.533508339815055,0.5566502463054187,0.011429024978330938,1.0,,,,
LinearDiscriminantAnalysis,0.5205254515599343,0.5333441362025755,0.5566502463054187,0.011271206847134771,,,,,
LogisticRegression,0.5205254515599343,0.5333441362025755,0.5566502463054187,0.011271206847134771,10000.0,,,,
RandomForest,0.5205254515599343,0.5333441362025755,0.5566502463054187,0.01098039277378471,,,10,,
RandomForest,0.5205254515599343,0.5333441362025755,0.5566502463054187,0.01098039277378471,,,100,,
BernoulliNaiveBayes,0.5205254515599343,0.5330154589058854,0.5566502463054187,0.011074986877192062,,,,,
