estimator,configuration,feature_selection,precision,recall,f1-measure,auc-roc,brier score
DecisionTree,{'criterion': 'gini'},chi2_20p,0.10814814814814815,0.31877729257641924,0.16150442477876106,0.5926184599528059,0.16001688832594468
DecisionTree,{'criterion': 'entropy'},chi2_20p,0.10814814814814815,0.31877729257641924,0.16150442477876106,0.5926184599528059,0.16001688832594468
RandomForest,{'n_estimators': 10},chi2_20p,0.10814814814814815,0.31877729257641924,0.16150442477876106,0.5926184599528059,0.16001688832594468
RandomForest,{'n_estimators': 100},chi2_20p,0.10814814814814815,0.31877729257641924,0.16150442477876106,0.5926184599528059,0.16001688832594468
SupportVectorMachine,{'C': 100},chi2_20p,0.10814814814814815,0.31877729257641924,0.16150442477876106,0.5926184599528059,0.16001688832594468
QuadraticDiscriminantAnalysis,{},chi2_20p,0.10766961651917405,0.31877729257641924,0.16097023153252482,0.5922857181604367,0.16065020054887058
LogisticRegression,{'C': 0.0001},chi2_20p,0.10766961651917405,0.31877729257641924,0.16097023153252482,0.5922857181604367,0.16065020054887058
BernoulliNaiveBayes,{},chi2_20p,0.10766961651917405,0.31877729257641924,0.16097023153252482,0.5922857181604367,0.16065020054887058
SupportVectorMachine,{'C': 0.1},chi2_20p,0.10766961651917405,0.31877729257641924,0.16097023153252482,0.5922857181604367,0.16065020054887058
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",chi2_20p,0.10766961651917405,0.31877729257641924,0.16097023153252482,0.5922857181604367,0.16065020054887058
DecisionTree,{'criterion': 'gini'},chi2_50p,0.09647302904564316,0.40611353711790393,0.15590947191953058,0.606450734841117,0.2125818028287946
DecisionTree,{'criterion': 'entropy'},chi2_50p,0.09647302904564316,0.40611353711790393,0.15590947191953058,0.606450734841117,0.2125818028287946
RandomForest,{'n_estimators': 100},chi2_50p,0.09657320872274143,0.40611353711790393,0.15604026845637586,0.6065616487719067,0.21237069875448597
SupportVectorMachine,{'C': 100},chi2_50p,0.09647302904564316,0.40611353711790393,0.15590947191953058,0.606450734841117,0.2125818028287946
SupportVectorMachine,{'C': 0.1},chi2_50p,0.09670781893004116,0.4104803493449782,0.1565362198168193,0.6078577434391262,0.2138484272746464
LinearDiscriminantAnalysis,{},chi2_50p,0.09667359667359668,0.40611353711790393,0.1561712846347607,0.6066725627026964,0.21215959468017734
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",chi2_50p,0.09690721649484536,0.4104803493449782,0.1567973311092577,0.6080795713007056,0.21342621912602913
LogisticRegression,{'C': 1.0},chi2_50p,0.09690721649484536,0.4104803493449782,0.1567973311092577,0.6080795713007056,0.21342621912602913
LogisticRegression,{'C': 10000.0},chi2_50p,0.09667359667359668,0.40611353711790393,0.1561712846347607,0.6066725627026964,0.21215959468017734
RandomForest,{'n_estimators': 10},chi2_50p,0.10843373493975904,0.314410480349345,0.1612541993281075,0.5915441931471659,0.158116951657167
LogisticRegression,{'C': 0.0001},mutual_info_classif_20p,0.11094224924012158,0.31877729257641924,0.16459977452085683,0.594503996776231,0.1564281190626979
BernoulliNaiveBayes,{},mutual_info_classif_20p,0.11010558069381599,0.31877729257641924,0.16367713004484305,0.5939494271222824,0.15748363943424107
DecisionTree,{'criterion': 'gini'},mutual_info_classif_20p,0.11094224924012158,0.31877729257641924,0.16459977452085683,0.594503996776231,0.1564281190626979
DecisionTree,{'criterion': 'entropy'},mutual_info_classif_20p,0.11094224924012158,0.31877729257641924,0.16459977452085683,0.594503996776231,0.1564281190626979
RandomForest,{'n_estimators': 100},mutual_info_classif_20p,0.11094224924012158,0.31877729257641924,0.16459977452085683,0.594503996776231,0.1564281190626979
SupportVectorMachine,{'C': 0.1},mutual_info_classif_20p,0.11094224924012158,0.31877729257641924,0.16459977452085683,0.594503996776231,0.1564281190626979
SupportVectorMachine,{'C': 100},mutual_info_classif_20p,0.11094224924012158,0.31877729257641924,0.16459977452085683,0.594503996776231,0.1564281190626979
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",mutual_info_classif_20p,0.11094224924012158,0.31877729257641924,0.16459977452085683,0.594503996776231,0.1564281190626979
LinearDiscriminantAnalysis,{},mutual_info_classif_20p,0.11496062992125984,0.31877729257641924,0.16898148148148148,0.5970550171843941,0.15157272535359934
LogisticRegression,{'C': 1.0},mutual_info_classif_20p,0.11496062992125984,0.31877729257641924,0.16898148148148148,0.5970550171843941,0.15157272535359934
LinearDiscriminantAnalysis,{},mutual_info_classif_50p,0.09720785935884178,0.4104803493449782,0.15719063545150502,0.6084123130930748,0.21279290690310323
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",mutual_info_classif_50p,0.10960960960960961,0.31877729257641924,0.16312849162011175,0.5936166853299132,0.158116951657167
LogisticRegression,{'C': 1.0},mutual_info_classif_50p,0.09720785935884178,0.4104803493449782,0.15719063545150502,0.6084123130930748,0.21279290690310323
LogisticRegression,{'C': 10000.0},mutual_info_classif_50p,0.09720785935884178,0.4104803493449782,0.15719063545150502,0.6084123130930748,0.21279290690310323
DecisionTree,{'criterion': 'gini'},mutual_info_classif_50p,0.11010558069381599,0.31877729257641924,0.16367713004484305,0.5939494271222824,0.15748363943424107
DecisionTree,{'criterion': 'entropy'},mutual_info_classif_50p,0.11010558069381599,0.31877729257641924,0.16367713004484305,0.5939494271222824,0.15748363943424107
RandomForest,{'n_estimators': 10},mutual_info_classif_50p,0.11010558069381599,0.31877729257641924,0.16367713004484305,0.5939494271222824,0.15748363943424107
RandomForest,{'n_estimators': 100},mutual_info_classif_50p,0.0975103734439834,0.4104803493449782,0.1575859178541492,0.6087450548854437,0.21215959468017734
SupportVectorMachine,{'C': 100},mutual_info_classif_50p,0.11010558069381599,0.31877729257641924,0.16367713004484305,0.5939494271222824,0.15748363943424107
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",mutual_info_classif_50p,0.09720785935884178,0.4104803493449782,0.15719063545150502,0.6084123130930748,0.21279290690310323
DecisionTree,{'criterion': 'gini'},f_classif_20,0.10814814814814815,0.31877729257641924,0.16150442477876106,0.5926184599528059,0.16001688832594468
DecisionTree,{'criterion': 'entropy'},f_classif_20,0.10814814814814815,0.31877729257641924,0.16150442477876106,0.5926184599528059,0.16001688832594468
RandomForest,{'n_estimators': 10},f_classif_20,0.10814814814814815,0.31877729257641924,0.16150442477876106,0.5926184599528059,0.16001688832594468
RandomForest,{'n_estimators': 100},f_classif_20,0.10814814814814815,0.31877729257641924,0.16150442477876106,0.5926184599528059,0.16001688832594468
SupportVectorMachine,{'C': 100},f_classif_20,0.10814814814814815,0.31877729257641924,0.16150442477876106,0.5926184599528059,0.16001688832594468
LinearDiscriminantAnalysis,{},f_classif_20,0.10766961651917405,0.31877729257641924,0.16097023153252482,0.5922857181604367,0.16065020054887058
QuadraticDiscriminantAnalysis,{},f_classif_20,0.10766961651917405,0.31877729257641924,0.16097023153252482,0.5922857181604367,0.16065020054887058
