estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
RandomForest,0.5245579567779961,0.5352723217949152,0.5582309582309583,0.011545648361752236,,,100,,
RandomForest,0.5245579567779961,0.535223157610191,0.5552825552825553,0.010658883690200445,,,10,,
SupportVectorMachine,0.5240667976424361,0.5351741623745554,0.5601965601965602,0.011841169724514234,100,,,,
DecisionTree,0.5240667976424361,0.5350758581406911,0.5601965601965602,0.011896978755033646,,gini,,,
DecisionTree,0.5240667976424361,0.5350758581406911,0.5601965601965602,0.011896978755033646,,entropy,,,
MultilayerPerceptron,0.525049115913556,0.5349776504491631,0.5577395577395577,0.010775158167543328,,,,relu,"(17, 8, 17)"
MultilayerPerceptron,0.5142436149312377,0.5324232367749067,0.5547911547911548,0.012028219584000173,,,,tanh,"(17, 8, 17)"
SupportVectorMachine,0.5253071253071253,0.5321765952414282,0.5530451866404715,0.008158567695301771,0.1,,,,
LinearDiscriminantAnalysis,0.5132612966601179,0.5286889309384398,0.555992141453831,0.01181110544598987,,,,,
LogisticRegression,0.5132612966601179,0.5286889309384398,0.555992141453831,0.01181110544598987,10000.0,,,,
BernoulliNaiveBayes,0.5085995085995086,0.5284915259964376,0.56286836935167,0.013527486472356264,,,,,
LogisticRegression,0.5127701375245579,0.5284433513706598,0.555992141453831,0.011982054611330523,1.0,,,,
LogisticRegression,0.4867387033398821,0.5242668092275165,0.5569744597249509,0.01921441059791496,0.0001,,,,
K-NearestNeighbor,0.5007371007371008,0.5070251685870546,0.5144963144963145,0.004945646333019121,,,,,
QuadraticDiscriminantAnalysis,0.46463654223968565,0.5063376182040229,0.537819253438114,0.020030392195440123,,,,,
