estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
BernoulliNaiveBayes,0.5031941031941032,0.5283925459662198,0.5525540275049116,0.014708958299496963,,,,,
LinearDiscriminantAnalysis,0.5071253071253071,0.526674719906547,0.550098231827112,0.013021721595179158,,,,,
LogisticRegression,0.5071253071253071,0.526674719906547,0.550098231827112,0.013021721595179158,1.0,,,,
LogisticRegression,0.5071253071253071,0.526674719906547,0.550098231827112,0.013021721595179158,10000.0,,,,
SupportVectorMachine,0.5085995085995086,0.5261838503979958,0.5461689587426326,0.012903158203187985,0.1,,,,
MultilayerPerceptron,0.5061425061425061,0.5260855461641316,0.5456777996070727,0.013208109938235343,,,,relu,"(17, 8, 17)"
RandomForest,0.5061425061425061,0.5259382225590477,0.5466601178781926,0.013405591044381313,,,10,,
SupportVectorMachine,0.5061425061425061,0.5258890342387395,0.5466601178781926,0.013500002241906468,100,,,,
DecisionTree,0.5061425061425061,0.5258399907319358,0.5466601178781926,0.013508458808689682,,gini,,,
DecisionTree,0.5061425061425061,0.5258399907319358,0.5466601178781926,0.013508458808689682,,entropy,,,
RandomForest,0.5061425061425061,0.5257908265472115,0.5466601178781926,0.01346734468588876,,,100,,
MultilayerPerceptron,0.485012285012285,0.5216621211316692,0.5530451866404715,0.017159135620863,,,,tanh,"(17, 8, 17)"
LogisticRegression,0.4901768172888016,0.5207294738925388,0.5456777996070727,0.017542223990322545,0.0001,,,,
QuadraticDiscriminantAnalysis,0.47616707616707615,0.5099208594198771,0.5265225933202358,0.01676429451690444,,,,,
K-NearestNeighbor,0.47986247544204325,0.5026040122994937,0.514004914004914,0.010442693670187169,,,,,
