estimator,configuration,feature_selection,precision,recall,f1-measure,auc-roc,brier score
LogisticRegression,{'C': 0.0001},chi2_20p,0.20775193798449612,0.17795484727755645,0.19170243204577966,0.5122506969120515,0.27675728630908647
DecisionTree,{'criterion': 'gini'},chi2_20p,0.20775193798449612,0.17795484727755645,0.19170243204577966,0.5122506969120515,0.27675728630908647
DecisionTree,{'criterion': 'entropy'},chi2_20p,0.20775193798449612,0.17795484727755645,0.19170243204577966,0.5122506969120515,0.27675728630908647
RandomForest,{'n_estimators': 10},chi2_20p,0.20775193798449612,0.17795484727755645,0.19170243204577966,0.5122506969120515,0.27675728630908647
RandomForest,{'n_estimators': 100},chi2_20p,0.20775193798449612,0.17795484727755645,0.19170243204577966,0.5122506969120515,0.27675728630908647
SupportVectorMachine,{'C': 100},chi2_20p,0.20775193798449612,0.17795484727755645,0.19170243204577966,0.5122506969120515,0.27675728630908647
LinearDiscriminantAnalysis,{},chi2_20p,0.20775193798449612,0.17795484727755645,0.19170243204577966,0.5122506969120515,0.27675728630908647
LogisticRegression,{'C': 1.0},chi2_20p,0.20775193798449612,0.17795484727755645,0.19170243204577966,0.5122506969120515,0.27675728630908647
LogisticRegression,{'C': 10000.0},chi2_20p,0.20775193798449612,0.17795484727755645,0.19170243204577966,0.5122506969120515,0.27675728630908647
BernoulliNaiveBayes,{},chi2_20p,0.20775193798449612,0.17795484727755645,0.19170243204577966,0.5122506969120515,0.27675728630908647
BernoulliNaiveBayes,{},chi2_50p,0.2476007677543186,0.3426294820717131,0.28746518105849583,0.5535970233181389,0.3132500612294881
LinearDiscriminantAnalysis,{},chi2_50p,0.23809523809523808,0.27224435590969454,0.25402726146220567,0.5376236794563487,0.29488121479304436
LogisticRegression,{'C': 1.0},chi2_50p,0.23809523809523808,0.27224435590969454,0.25402726146220567,0.5376236794563487,0.29488121479304436
LogisticRegression,{'C': 10000.0},chi2_50p,0.23809523809523808,0.27224435590969454,0.25402726146220567,0.5376236794563487,0.29488121479304436
SupportVectorMachine,{'C': 0.1},chi2_50p,0.24036281179138322,0.2815405046480744,0.25932721712538226,0.5401696517234366,0.29659564046044573
