estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
BernoulliNaiveBayes,0.5095823095823095,0.5299155978625526,0.5540275049115914,0.013154790413617133,,,,,
LinearDiscriminantAnalysis,0.514987714987715,0.5288362062723556,0.5520628683693517,0.010913547285912081,,,,,
LogisticRegression,0.514987714987715,0.5288362062723556,0.5520628683693517,0.010913547285912081,10000.0,,,,
MultilayerPerceptron,0.5144963144963145,0.5288362062723556,0.5520628683693517,0.010833705505460874,,,,tanh,"(17, 8, 17)"
LogisticRegression,0.514987714987715,0.5287379503096596,0.5520628683693517,0.01084187487281504,1.0,,,,
RandomForest,0.5105651105651106,0.5279511302694014,0.5520628683693517,0.011321513766842746,,,10,,
RandomForest,0.5154791154791155,0.526919913304982,0.5520628683693517,0.010261927789385452,,,100,,
MultilayerPerceptron,0.5105651105651106,0.5266248799254694,0.5520628683693517,0.0109356029411631,,,,relu,"(17, 8, 17)"
DecisionTree,0.5105651105651106,0.5265267687762776,0.5520628683693517,0.010950641159098889,,gini,,,
DecisionTree,0.5105651105651106,0.5265267687762776,0.5520628683693517,0.010950641159098889,,entropy,,,
