estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
MultilayerPerceptron,0.54070796460177,0.616031711240621,0.692171605484299,0.04731350079801353,,,,relu,"(17, 8, 17)"
LogisticRegression,0.5393805309734513,0.6151916490862764,0.6730088495575222,0.044417240179270366,0.0001,,,,
BernoulliNaiveBayes,0.5384955752212389,0.6151474012986659,0.6730088495575222,0.04466980426118468,,,,,
MultilayerPerceptron,0.5411504424778761,0.6075841999585115,0.668141592920354,0.044549886377535416,,,,tanh,"(17, 8, 17)"
LinearDiscriminantAnalysis,0.547787610619469,0.6032002246636894,0.6668141592920354,0.041776788056102514,,,,,
LogisticRegression,0.5469026548672566,0.6030675008708652,0.6668141592920354,0.04192708983557682,1.0,,,,
LogisticRegression,0.5469026548672566,0.6030675008708652,0.6668141592920354,0.04192708983557682,10000.0,,,,
SupportVectorMachine,0.5411504424778761,0.6022261666660143,0.6687306501547987,0.04597673926989834,0.1,,,,
DecisionTree,0.5415929203539823,0.6013859088115916,0.668141592920354,0.045700420996984986,,gini,,,
DecisionTree,0.5415929203539823,0.6013859088115916,0.668141592920354,0.045700420996984986,,entropy,,,
SupportVectorMachine,0.5415929203539823,0.6013859088115916,0.668141592920354,0.045700420996984986,100,,,,
RandomForest,0.5415929203539823,0.601341661023981,0.668141592920354,0.04576744425122821,,,10,,
RandomForest,0.5415929203539823,0.601341661023981,0.668141592920354,0.04575675781426301,,,100,,
QuadraticDiscriminantAnalysis,0.5,0.5822792796671533,0.6221238938053097,0.03354351983767069,,,,,
K-NearestNeighbor,0.4670499778858912,0.557376444755825,0.6464601769911504,0.04323701759089579,,,,,
