estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
MultilayerPerceptron,0.5761061946902655,0.6251434090170769,0.6678460858027422,0.030721568827889668,,,,relu,"(17, 8, 17)"
RandomForest,0.5727554179566563,0.6213397627332256,0.6687306501547987,0.034281017769578294,,,100,,
SupportVectorMachine,0.5727554179566563,0.6213397627332256,0.6687306501547987,0.034281017769578294,100,,,,
DecisionTree,0.5727554179566563,0.62125130629802,0.6678460858027422,0.03415954540478278,,gini,,,
DecisionTree,0.5727554179566563,0.62125130629802,0.6678460858027422,0.03415954540478278,,entropy,,,
SupportVectorMachine,0.572313135780628,0.6211628302928065,0.6687306501547987,0.03448132773455577,0.1,,,,
RandomForest,0.5727554179566563,0.6211186216452114,0.6678460858027422,0.03427787695648911,,,10,,
QuadraticDiscriminantAnalysis,0.5727554179566563,0.6192608212358068,0.6598850066342327,0.03293572939036837,,,,,
LinearDiscriminantAnalysis,0.5725663716814159,0.6191279604529283,0.6598850066342327,0.032968890326863155,,,,,
BernoulliNaiveBayes,0.5707964601769911,0.6190838105153565,0.6598850066342327,0.033153674457348264,,,,,
LogisticRegression,0.5725663716814159,0.6189068389349219,0.6598850066342327,0.032894746362473894,1.0,,,,
LogisticRegression,0.5725663716814159,0.6189068389349219,0.6598850066342327,0.032894746362473894,10000.0,,,,
MultilayerPerceptron,0.5672566371681416,0.614525994841346,0.6638655462184874,0.03692902066740404,,,,tanh,"(17, 8, 17)"
LogisticRegression,0.5435647943387881,0.6068740630858771,0.6643078283945157,0.04416470703302224,0.0001,,,,
K-NearestNeighbor,0.5072976559044671,0.5522867749801365,0.6448474126492703,0.04414453509180826,,,,,
