estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LogisticRegression,0.5601769911504425,0.6165186913144391,0.6669615214506855,0.040595859361530574,0.0001,,,,
MultilayerPerceptron,0.5446902654867256,0.6165158145232942,0.6952675807164971,0.04206728113275817,,,,tanh,"(17, 8, 17)"
BernoulliNaiveBayes,0.5597345132743363,0.6163860066616307,0.6669615214506855,0.0407675439531692,,,,,
MultilayerPerceptron,0.5610619469026549,0.6162946342952644,0.6952675807164971,0.045700891213958574,,,,relu,"(17, 8, 17)"
LinearDiscriminantAnalysis,0.5654867256637168,0.6072259905359443,0.6643078283945157,0.038615233218921206,,,,,
LogisticRegression,0.5654867256637168,0.606960542950296,0.6643078283945157,0.03883632097191437,1.0,,,,
LogisticRegression,0.5654867256637168,0.606960542950296,0.6643078283945157,0.03883632097191437,10000.0,,,,
RandomForest,0.5685840707964602,0.6065188478745014,0.6612118531623176,0.03431696259720361,,,10,,
SupportVectorMachine,0.5603715170278638,0.6039093830359346,0.6612118531623176,0.03673019906763603,100,,,,
DecisionTree,0.5603715170278638,0.6035997463726991,0.6612118531623176,0.03673608798984874,,gini,,,
DecisionTree,0.5603715170278638,0.6035997463726991,0.6612118531623176,0.03673608798984874,,entropy,,,
SupportVectorMachine,0.5594869526758072,0.6035997268026912,0.6612118531623176,0.037331599614000364,0.1,,,,
RandomForest,0.5446902654867256,0.6014757742873581,0.6612118531623176,0.039510317075662944,,,100,,
K-NearestNeighbor,0.5294117647058824,0.5509602415721762,0.5685840707964602,0.012212118929437426,,,,,
QuadraticDiscriminantAnalysis,0.49977885891198587,0.5,0.5002211410880142,0.0001712951502082057,,,,,
