estimator,configuration,feature_selection,precision,recall,f1-measure,auc-roc,brier score
QuadraticDiscriminantAnalysis,{},chi2_20p,0.31259720062208396,0.49507389162561577,0.38322211630123926,0.6824028461959497,0.1703079757831008
LogisticRegression,{'C': 1.0},chi2_20p,0.3130699088145897,0.5073891625615764,0.38721804511278196,0.6870868595006527,0.17162411160831798
LogisticRegression,{'C': 10000.0},chi2_20p,0.3130699088145897,0.5073891625615764,0.38721804511278196,0.6870868595006527,0.17162411160831798
LinearDiscriminantAnalysis,{},chi2_20p,0.3130699088145897,0.5073891625615764,0.38721804511278196,0.6870868595006527,0.17162411160831798
BernoulliNaiveBayes,{},chi2_20p,0.3130699088145897,0.5073891625615764,0.38721804511278196,0.6870868595006527,0.17162411160831798
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",chi2_20p,0.13939867239359624,0.8793103448275862,0.24064711830131447,0.6148688476274683,0.5930508028428534
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",chi2_20p,0.13939867239359624,0.8793103448275862,0.24064711830131447,0.6148688476274683,0.5930508028428534
RandomForest,{'n_estimators': 10},chi2_20p,0.3080357142857143,0.5098522167487685,0.38404452690166974,0.686402677781988,0.17478283758883917
LogisticRegression,{'C': 0.0001},chi2_20p,0.3130699088145897,0.5073891625615764,0.38721804511278196,0.6870868595006527,0.17162411160831798
RandomForest,{'n_estimators': 100},chi2_20p,0.3080357142857143,0.5098522167487685,0.38404452690166974,0.686402677781988,0.17478283758883917
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",chi2_50p,0.3100303951367781,0.5024630541871922,0.38345864661654133,0.684329080880805,0.17267702026849172
LogisticRegression,{'C': 0.0001},chi2_50p,0.3011527377521614,0.5147783251231527,0.38,0.6859184876426255,0.17952092655962096
