estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
QuadraticDiscriminantAnalysis,0.5632743362831858,0.6176685271220738,0.6629809818664307,0.036352941497044045,,,,,
LogisticRegression,0.5650442477876106,0.6174915751116469,0.6643078283945157,0.03603761223908041,1.0,,,,
LogisticRegression,0.5650442477876106,0.6174915751116469,0.6643078283945157,0.03603761223908041,10000.0,,,,
LinearDiscriminantAnalysis,0.5610619469026549,0.6171375732407542,0.6643078283945157,0.03657821067066726,,,,,
BernoulliNaiveBayes,0.5650442477876106,0.6168723800652073,0.6594427244582043,0.03507276950171139,,,,,
MultilayerPerceptron,0.5623893805309734,0.6156751848387236,0.6687306501547987,0.03783000001178131,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.5462184873949579,0.6106789031402035,0.6579646017699115,0.03850307882420489,,,,relu,"(17, 8, 17)"
RandomForest,0.5623893805309734,0.6055889985244214,0.6687306501547987,0.04138843170205019,,,10,,
LogisticRegression,0.5431225121627599,0.6049719170388229,0.6643078283945157,0.04425539687658487,0.0001,,,,
RandomForest,0.5462184873949579,0.6026257079450318,0.6687306501547987,0.04404663531326654,,,100,,
