estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LogisticRegression,0.5442477876106194,0.6147043950323492,0.6660769570986289,0.04344024137009862,0.0001,,,,
BernoulliNaiveBayes,0.5429203539823009,0.6146601081047229,0.6669615214506855,0.04376186494877497,,,,,
MultilayerPerceptron,0.5601769911504425,0.6093481034705452,0.6651923927465723,0.038204978352248765,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.5460176991150443,0.6053255079395522,0.6576735957540911,0.042252314053991706,,,,relu,"(17, 8, 17)"
SupportVectorMachine,0.5553097345132744,0.6009447029859918,0.6576735957540911,0.03899674832260673,100,,,,
RandomForest,0.5548672566371682,0.6007677705455727,0.6576735957540911,0.0391132671961683,,,100,,
DecisionTree,0.5553097345132744,0.6007235618979776,0.6576735957540911,0.038984672514240926,,gini,,,
DecisionTree,0.5553097345132744,0.6007235618979776,0.6576735957540911,0.038984672514240926,,entropy,,,
RandomForest,0.5433628318584071,0.5990863350463613,0.6576735957540911,0.04104689262330982,,,10,,
SupportVectorMachine,0.5539823008849557,0.5985554594450729,0.6576735957540911,0.040261072637979387,0.1,,,,
