estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
MultilayerPerceptron,0.5460176991150443,0.6202777179805319,0.6722689075630253,0.03684622859433755,,,,relu,"(17, 8, 17)"
QuadraticDiscriminantAnalysis,0.5446902654867256,0.6167833365297679,0.6691729323308271,0.04093595401118718,,,,,
LogisticRegression,0.5429203539823009,0.6167832973897525,0.6696152145068553,0.041021200479843374,1.0,,,,
LogisticRegression,0.5429203539823009,0.6167832973897525,0.6696152145068553,0.041021200479843374,10000.0,,,,
LinearDiscriminantAnalysis,0.5415929203539823,0.6159428046952363,0.6691729323308271,0.04126038065207586,,,,,
MultilayerPerceptron,0.54070796460177,0.609527756142047,0.6722689075630253,0.04702454892829489,,,,tanh,"(17, 8, 17)"
SupportVectorMachine,0.5411504424778761,0.6034638522386132,0.6722689075630253,0.048234205046736936,100,,,,
RandomForest,0.5411504424778761,0.6033753958034076,0.6713843432109686,0.04810859026746444,,,100,,
DecisionTree,0.5411504424778761,0.6032869393682019,0.6713843432109686,0.04799063641551294,,gini,,,
DecisionTree,0.5411504424778761,0.6032869393682019,0.6713843432109686,0.04799063641551294,,entropy,,,
