estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
BernoulliNaiveBayes,0.5579646017699115,0.6214291780988129,0.6685840707964602,0.040977952872666146,,,,,
LogisticRegression,0.5530973451327433,0.6186423698496631,0.6676991150442478,0.0418263718094457,0.0001,,,,
MultilayerPerceptron,0.5553097345132744,0.6166511019871386,0.7,0.04569508085024002,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.5570796460176991,0.6134623453480135,0.6846528084918178,0.04522289486268289,,,,relu,"(17, 8, 17)"
SupportVectorMachine,0.5557522123893806,0.6032894051891834,0.6685840707964602,0.04167557671967899,0.1,,,,
RandomForest,0.5486725663716814,0.602802542535412,0.6694690265486726,0.04296282357789057,,,10,,
SupportVectorMachine,0.5495575221238939,0.6027140469601907,0.6694690265486726,0.042926123197422054,100,,,,
DecisionTree,0.5495575221238939,0.60258138187739,0.6694690265486726,0.04298157916815501,,gini,,,
DecisionTree,0.5495575221238939,0.60258138187739,0.6694690265486726,0.04298157916815501,,entropy,,,
RandomForest,0.5495575221238939,0.602537075379756,0.6694690265486726,0.043081058781297,,,100,,
