estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.6173708920187794,0.6506515907417008,0.6765857478465153,0.01971877227508984,,gini,,,
DecisionTree,0.6173708920187794,0.6506515907417008,0.6765857478465153,0.01971877227508984,,entropy,,,
RandomForest,0.6173708920187794,0.6506515907417008,0.6765857478465153,0.01971877227508984,,,10,,
RandomForest,0.6173708920187794,0.6506515907417008,0.6765857478465153,0.01971877227508984,,,100,,
SupportVectorMachine,0.6173708920187794,0.6506515907417008,0.6765857478465153,0.01971877227508984,0.1,,,,
SupportVectorMachine,0.6173708920187794,0.6506515907417008,0.6765857478465153,0.01971877227508984,100,,,,
MultilayerPerceptron,0.6173708920187794,0.6506515907417008,0.6765857478465153,0.01971877227508984,,,,relu,"(17, 8, 17)"
MultilayerPerceptron,0.6150234741784038,0.6492432013117598,0.6773688332028192,0.020953450303975336,,,,tanh,"(17, 8, 17)"
LinearDiscriminantAnalysis,0.6150234741784038,0.6492431400374754,0.6773688332028192,0.021021564418289812,,,,,
LogisticRegression,0.6150234741784038,0.6492431400374754,0.6773688332028192,0.021021564418289812,1.0,,,,
LogisticRegression,0.6150234741784038,0.6492431400374754,0.6773688332028192,0.021021564418289812,10000.0,,,,
BernoulliNaiveBayes,0.6150234741784038,0.6492431400374754,0.6773688332028192,0.021021564418289812,,,,,
QuadraticDiscriminantAnalysis,0.6220657276995305,0.6400866786028974,0.6679718089271731,0.012707231173116776,,,,,
LogisticRegression,0.5993740219092332,0.6270938342138448,0.6705790297339593,0.025688259829847564,0.0001,,,,
K-NearestNeighbor,0.5113547376664056,0.5410820180808158,0.5782472613458529,0.02701411596557337,,,,,
