estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.6267605633802817,0.6557389494891562,0.6752738654147105,0.016122837396366652,,gini,,,
DecisionTree,0.6267605633802817,0.6557389494891562,0.6752738654147105,0.016122837396366652,,entropy,,,
RandomForest,0.6267605633802817,0.6557389494891562,0.6752738654147105,0.016122837396366652,,,10,,
RandomForest,0.6267605633802817,0.6557389494891562,0.6752738654147105,0.016122837396366652,,,100,,
SupportVectorMachine,0.6267605633802817,0.6557389494891562,0.6752738654147105,0.016122837396366652,0.1,,,,
SupportVectorMachine,0.6267605633802817,0.6557389494891562,0.6752738654147105,0.016122837396366652,100,,,,
MultilayerPerceptron,0.6267605633802817,0.6555824549664646,0.6752738654147105,0.016175418136458283,,,,relu,"(17, 8, 17)"
LinearDiscriminantAnalysis,0.6251956181533647,0.6543303762363619,0.6750195771339076,0.016568852057089477,,,,,
LogisticRegression,0.6251956181533647,0.6543303762363619,0.6750195771339076,0.016568852057089477,1.0,,,,
LogisticRegression,0.6251956181533647,0.6543303762363619,0.6750195771339076,0.016568852057089477,10000.0,,,,
BernoulliNaiveBayes,0.6251956181533647,0.6543303762363619,0.6750195771339076,0.016568852057089477,,,,,
MultilayerPerceptron,0.6251956181533647,0.6543303762363619,0.6750195771339076,0.016568852057089477,,,,tanh,"(17, 8, 17)"
QuadraticDiscriminantAnalysis,0.6306729264475743,0.6431384443439546,0.6609240407204385,0.010201207205333808,,,,,
LogisticRegression,0.593114241001565,0.6286585956179084,0.6525821596244131,0.022585483254923586,0.0001,,,,
K-NearestNeighbor,0.5140845070422535,0.5498505520200293,0.5805946791862285,0.025538803831910605,,,,,
