estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
SupportVectorMachine,0.6377151799687011,0.6573819581545657,0.6914643696162882,0.01859782407031547,0.1,,,,
MultilayerPerceptron,0.6377151799687011,0.6573819581545657,0.6914643696162882,0.01859782407031547,,,,relu,"(17, 8, 17)"
DecisionTree,0.6377151799687011,0.6573037108932198,0.6914643696162882,0.018622775268840406,,gini,,,
DecisionTree,0.6377151799687011,0.6573037108932198,0.6914643696162882,0.018622775268840406,,entropy,,,
RandomForest,0.6377151799687011,0.6573037108932198,0.6914643696162882,0.018622775268840406,,,10,,
RandomForest,0.6377151799687011,0.6573037108932198,0.6914643696162882,0.018622775268840406,,,100,,
SupportVectorMachine,0.6377151799687011,0.6573037108932198,0.6914643696162882,0.018622775268840406,100,,,,
MultilayerPerceptron,0.634585289514867,0.6560512645174098,0.6885758998435054,0.017860814537279283,,,,tanh,"(17, 8, 17)"
LinearDiscriminantAnalysis,0.634585289514867,0.655582271143611,0.6914643696162882,0.01918487842157578,,,,,
LogisticRegression,0.634585289514867,0.6555039013336961,0.6898981989036805,0.01885600329237557,1.0,,,,
LogisticRegression,0.634585289514867,0.6555039013336961,0.6898981989036805,0.01885600329237557,10000.0,,,,
BernoulliNaiveBayes,0.622848200312989,0.647364531748045,0.687793427230047,0.018030060805111693,,,,,
QuadraticDiscriminantAnalysis,0.6244131455399061,0.636955378840519,0.6570086139389193,0.009675745303617745,,,,,
LogisticRegression,0.5923317683881064,0.6365619366595465,0.6901408450704225,0.025631002259009033,0.0001,,,,
K-NearestNeighbor,0.5070422535211268,0.5434333574754014,0.5821596244131455,0.021890176514507025,,,,,
