estimator,configuration,feature_selection,precision,recall,f1-measure,auc-roc,brier score
DecisionTree,{'criterion': 'gini'},chi2_20p,0.2210953346855984,0.2831168831168831,0.24829157175398636,0.5751684000646656,0.2014037229173024
DecisionTree,{'criterion': 'entropy'},chi2_20p,0.2210953346855984,0.2831168831168831,0.24829157175398636,0.5751684000646656,0.2014037229173024
RandomForest,{'n_estimators': 10},chi2_20p,0.2210953346855984,0.2831168831168831,0.24829157175398636,0.5751684000646656,0.2014037229173024
RandomForest,{'n_estimators': 100},chi2_20p,0.2210953346855984,0.2831168831168831,0.24829157175398636,0.5751684000646656,0.2014037229173024
SupportVectorMachine,{'C': 0.1},chi2_20p,0.2210953346855984,0.2831168831168831,0.24829157175398636,0.5751684000646656,0.2014037229173024
SupportVectorMachine,{'C': 100},chi2_20p,0.2210953346855984,0.2831168831168831,0.24829157175398636,0.5751684000646656,0.2014037229173024
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",chi2_20p,0.2210953346855984,0.2831168831168831,0.24829157175398636,0.5751684000646656,0.2014037229173024
LinearDiscriminantAnalysis,{},chi2_20p,0.21584158415841584,0.2831168831168831,0.2449438202247191,0.5730937112679851,0.2050656087885261
LogisticRegression,{'C': 1.0},chi2_20p,0.21584158415841584,0.2831168831168831,0.2449438202247191,0.5730937112679851,0.2050656087885261
LogisticRegression,{'C': 10000.0},chi2_20p,0.21584158415841584,0.2831168831168831,0.2449438202247191,0.5730937112679851,0.2050656087885261
SupportVectorMachine,{'C': 0.1},chi2_50p,0.21814671814671815,0.2935064935064935,0.2502768549280177,0.57673249986528,0.20659139456820264
RandomForest,{'n_estimators': 10},chi2_50p,0.22156862745098038,0.2935064935064935,0.25251396648044694,0.5781156257297336,0.20415013732072018
RandomForest,{'n_estimators': 100},chi2_50p,0.22156862745098038,0.2935064935064935,0.25251396648044694,0.5781156257297336,0.20415013732072018
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",chi2_50p,0.2189922480620155,0.2935064935064935,0.25083240843507215,0.5770782813313934,0.20598108025633202
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",chi2_50p,0.218568665377176,0.2935064935064935,0.2505543237250554,0.5769053905983367,0.20628623741226731
LinearDiscriminantAnalysis,{},chi2_50p,0.21631878557874762,0.2961038961038961,0.25,0.5766480752995276,0.20872749465974977
LogisticRegression,{'C': 1.0},chi2_50p,0.21631878557874762,0.2961038961038961,0.25,0.5766480752995276,0.20872749465974977
LogisticRegression,{'C': 10000.0},chi2_50p,0.21631878557874762,0.2961038961038961,0.25,0.5766480752995276,0.20872749465974977
DecisionTree,{'criterion': 'gini'},chi2_50p,0.22113502935420742,0.2935064935064935,0.25223214285714285,0.5779427349966769,0.20445529447665547
DecisionTree,{'criterion': 'entropy'},chi2_50p,0.22113502935420742,0.2935064935064935,0.25223214285714285,0.5779427349966769,0.20445529447665547
DecisionTree,{'criterion': 'gini'},mutual_info_classif_20p,0.2210953346855984,0.2831168831168831,0.24829157175398636,0.5751684000646656,0.2014037229173024
DecisionTree,{'criterion': 'entropy'},mutual_info_classif_20p,0.2210953346855984,0.2831168831168831,0.24829157175398636,0.5751684000646656,0.2014037229173024
RandomForest,{'n_estimators': 10},mutual_info_classif_20p,0.2210953346855984,0.2831168831168831,0.24829157175398636,0.5751684000646656,0.2014037229173024
RandomForest,{'n_estimators': 100},mutual_info_classif_20p,0.2210953346855984,0.2831168831168831,0.24829157175398636,0.5751684000646656,0.2014037229173024
