estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.6173708920187794,0.6506515907417008,0.6765857478465153,0.01971877227508984,,gini,,,
DecisionTree,0.6173708920187794,0.6506515907417008,0.6765857478465153,0.01971877227508984,,entropy,,,
RandomForest,0.6173708920187794,0.6506515907417008,0.6765857478465153,0.01971877227508984,,,10,,
RandomForest,0.6173708920187794,0.6506515907417008,0.6765857478465153,0.01971877227508984,,,100,,
SupportVectorMachine,0.6173708920187794,0.6506515907417008,0.6765857478465153,0.01971877227508984,0.1,,,,
SupportVectorMachine,0.6173708920187794,0.6506515907417008,0.6765857478465153,0.01971877227508984,100,,,,
MultilayerPerceptron,0.6173708920187794,0.6506515907417008,0.6765857478465153,0.01971877227508984,,,,relu,"(17, 8, 17)"
MultilayerPerceptron,0.6150234741784038,0.6492432013117598,0.6773688332028192,0.020953450303975336,,,,tanh,"(17, 8, 17)"
LinearDiscriminantAnalysis,0.6150234741784038,0.6492431400374754,0.6773688332028192,0.021021564418289812,,,,,
LogisticRegression,0.6150234741784038,0.6492431400374754,0.6773688332028192,0.021021564418289812,1.0,,,,
