estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.6408450704225352,0.6626261177961356,0.6883320281910729,0.016106818158421774,,gini,,,
DecisionTree,0.6408450704225352,0.6626261177961356,0.6883320281910729,0.016106818158421774,,entropy,,,
RandomForest,0.6408450704225352,0.6626261177961356,0.6883320281910729,0.016106818158421774,,,10,,
RandomForest,0.6408450704225352,0.6626261177961356,0.6883320281910729,0.016106818158421774,,,100,,
SupportVectorMachine,0.6408450704225352,0.6626261177961356,0.6883320281910729,0.016106818158421774,0.1,,,,
SupportVectorMachine,0.6408450704225352,0.6626261177961356,0.6883320281910729,0.016106818158421774,100,,,,
MultilayerPerceptron,0.6408450704225352,0.6624696232734438,0.6883320281910729,0.016286273620827043,,,,relu,"(17, 8, 17)"
MultilayerPerceptron,0.6400625978090767,0.6611391747334262,0.6883320281910729,0.01651820933372949,,,,tanh,"(17, 8, 17)"
LinearDiscriminantAnalysis,0.6338028169014085,0.6585567087375905,0.6862284820031299,0.01744279756912183,,,,,
LogisticRegression,0.6338028169014085,0.6585567087375905,0.6862284820031299,0.01744279756912183,1.0,,,,
