estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.502903600464576,0.7090592334494772,0.7909407665505227,0.08646647224357192,,gini,,,
DecisionTree,0.502903600464576,0.7090592334494772,0.7909407665505227,0.08646647224357192,,entropy,,,
RandomForest,0.502903600464576,0.7090592334494772,0.7909407665505227,0.08646647224357192,,,10,,
RandomForest,0.502903600464576,0.7090592334494772,0.7909407665505227,0.08646647224357192,,,100,,
SupportVectorMachine,0.502903600464576,0.7090592334494772,0.7909407665505227,0.08646647224357192,100,,,,
SupportVectorMachine,0.4924506387921022,0.7080139372822299,0.7909407665505227,0.08897905374286076,0.1,,,,
MultilayerPerceptron,0.502903600464576,0.7075493612078977,0.7909407665505227,0.08744156039980563,,,,relu,"(17, 8, 17)"
MultilayerPerceptron,0.4924506387921022,0.7061556329849014,0.7909407665505227,0.08973506653716777,,,,tanh,"(17, 8, 17)"
LogisticRegression,0.5040650406504065,0.7018583042973287,0.7828106852497096,0.08312545143520254,1.0,,,,
LogisticRegression,0.5040650406504065,0.7018583042973287,0.7828106852497096,0.08312545143520254,10000.0,,,,
