estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
BernoulliNaiveBayes,0.4924506387921022,0.6732868757259001,0.7607433217189314,0.07595863212761879,,,,,
QuadraticDiscriminantAnalysis,0.4878048780487805,0.6728222996515679,0.7630662020905923,0.07864768350931016,,,,,
LogisticRegression,0.4924506387921022,0.6720092915214867,0.7607433217189314,0.07507648542944861,1.0,,,,
LogisticRegression,0.4924506387921022,0.6720092915214867,0.7607433217189314,0.07507648542944861,10000.0,,,,
LogisticRegression,0.4924506387921022,0.6718931475029036,0.7607433217189314,0.0753599280938984,0.0001,,,,
SupportVectorMachine,0.4924506387921022,0.6714285714285715,0.7607433217189314,0.07669103086958097,0.1,,,,
SupportVectorMachine,0.4924506387921022,0.6714285714285715,0.7607433217189314,0.07669103086958097,100,,,,
MultilayerPerceptron,0.4924506387921022,0.6714285714285715,0.7607433217189314,0.07669103086958097,,,,tanh,"(17, 8, 17)"
LinearDiscriminantAnalysis,0.4924506387921022,0.6709639953542392,0.7607433217189314,0.07469433044077678,,,,,
RandomForest,0.4924506387921022,0.6708478513356562,0.7560975609756098,0.07621596695477052,,,10,,
