estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
MultilayerPerceptron,0.5087108013937283,0.7030197444831591,0.7967479674796748,0.08565107565447705,,,,tanh,"(17, 8, 17)"
DecisionTree,0.5087108013937283,0.7020905923344947,0.794425087108014,0.084674087622081,,gini,,,
DecisionTree,0.5087108013937283,0.7020905923344947,0.794425087108014,0.084674087622081,,entropy,,,
RandomForest,0.5087108013937283,0.7020905923344947,0.794425087108014,0.084674087622081,,,10,,
RandomForest,0.5087108013937283,0.7020905923344947,0.794425087108014,0.084674087622081,,,100,,
SupportVectorMachine,0.5087108013937283,0.7020905923344947,0.794425087108014,0.084674087622081,100,,,,
MultilayerPerceptron,0.5087108013937283,0.7020905923344947,0.794425087108014,0.084674087622081,,,,relu,"(17, 8, 17)"
SupportVectorMachine,0.5087108013937283,0.7011614401858304,0.7874564459930313,0.08370116749269901,0.1,,,,
QuadraticDiscriminantAnalysis,0.5087108013937283,0.7004645760743322,0.7874564459930313,0.08384994878902487,,,,,
LogisticRegression,0.5087108013937283,0.697444831591173,0.7897793263646922,0.0822579301122911,1.0,,,,
