estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LinearDiscriminantAnalysis,0.47560975609756095,0.5499341285383658,0.5888077858880778,0.03102471359155787,,,,,
LogisticRegression,0.47560975609756095,0.5499341285383658,0.5888077858880778,0.03102471359155787,1.0,,,,
LogisticRegression,0.47560975609756095,0.5499341285383658,0.5888077858880778,0.03102471359155787,10000.0,,,,
SupportVectorMachine,0.47560975609756095,0.5499341285383658,0.5888077858880778,0.03102471359155787,0.1,,,,
MultilayerPerceptron,0.5146341463414634,0.5494546317725951,0.573170731707317,0.018636626897189763,,,,relu,"(17, 8, 17)"
LogisticRegression,0.47560975609756095,0.5484742745237672,0.5888077858880778,0.03116440948586247,0.0001,,,,
RandomForest,0.47560975609756095,0.5438419084920776,0.5888077858880778,0.030931453435520673,,,100,,
DecisionTree,0.47560975609756095,0.5423731529286095,0.5888077858880778,0.03026988728405982,,gini,,,
DecisionTree,0.47560975609756095,0.5423731529286095,0.5888077858880778,0.03026988728405982,,entropy,,,
SupportVectorMachine,0.47560975609756095,0.5423731529286095,0.5888077858880778,0.03026988728405982,100,,,,
MultilayerPerceptron,0.47560975609756095,0.5411655094653136,0.573170731707317,0.028814179560522853,,,,tanh,"(17, 8, 17)"
BernoulliNaiveBayes,0.47560975609756095,0.5401833719067117,0.5669099756690997,0.02749652684390508,,,,,
RandomForest,0.47560975609756095,0.5389668268945463,0.5669099756690997,0.02720055429173631,,,10,,
K-NearestNeighbor,0.4926829268292683,0.529731173224141,0.5609756097560976,0.024546443484602817,,,,,
QuadraticDiscriminantAnalysis,0.49878345498783455,0.5,0.5012165450121655,0.000769410622912031,,,,,
