estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
BernoulliNaiveBayes,0.48048780487804876,0.5489608925286333,0.5888077858880778,0.03200668874457843,,,,,
SupportVectorMachine,0.48048780487804876,0.5489608925286333,0.5888077858880778,0.03200668874457843,0.1,,,,
DecisionTree,0.48048780487804876,0.5487175835262003,0.5888077858880778,0.03200803756393721,,gini,,,
DecisionTree,0.48048780487804876,0.5487175835262003,0.5888077858880778,0.03200803756393721,,entropy,,,
RandomForest,0.48048780487804876,0.5487175835262003,0.5888077858880778,0.03200803756393721,,,10,,
RandomForest,0.48048780487804876,0.5487175835262003,0.5888077858880778,0.03200803756393721,,,100,,
SupportVectorMachine,0.48048780487804876,0.5487175835262003,0.5888077858880778,0.03200803756393721,100,,,,
MultilayerPerceptron,0.48048780487804876,0.5433594445433506,0.5815085158150851,0.028300773554773714,,,,relu,"(17, 8, 17)"
LogisticRegression,0.48048780487804876,0.5431214764702391,0.5888077858880778,0.03084151285778094,0.0001,,,,
LinearDiscriminantAnalysis,0.4853658536585366,0.5418984036555694,0.5756097560975609,0.029695725117900047,,,,,
LogisticRegression,0.4853658536585366,0.5418984036555694,0.5756097560975609,0.029695725117900047,1.0,,,,
LogisticRegression,0.4853658536585366,0.5418984036555694,0.5756097560975609,0.029695725117900047,10000.0,,,,
MultilayerPerceptron,0.48048780487804876,0.5399365022847309,0.5888077858880778,0.03356329008984526,,,,tanh,"(17, 8, 17)"
K-NearestNeighbor,0.4975609756097561,0.5114384902973118,0.5523114355231143,0.01802979169859983,,,,,
QuadraticDiscriminantAnalysis,0.49878345498783455,0.5,0.5012165450121655,0.000769410622912031,,,,,
