estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
BernoulliNaiveBayes,0.47560975609756095,0.5579734140407098,0.6058394160583942,0.04164109332419859,,,,,
SupportVectorMachine,0.47560975609756095,0.5579734140407098,0.6058394160583942,0.04164109332419859,0.1,,,,
DecisionTree,0.47560975609756095,0.5577301050382767,0.6058394160583942,0.04143839904405495,,gini,,,
DecisionTree,0.47560975609756095,0.5577301050382767,0.6058394160583942,0.04143839904405495,,entropy,,,
RandomForest,0.47560975609756095,0.5577301050382767,0.6058394160583942,0.04143839904405495,,,10,,
RandomForest,0.47560975609756095,0.5577301050382767,0.6058394160583942,0.04143839904405495,,,100,,
SupportVectorMachine,0.47560975609756095,0.5577301050382767,0.6058394160583942,0.04143839904405495,100,,,,
MultilayerPerceptron,0.47560975609756095,0.5523636579431488,0.6058394160583942,0.03831908416339646,,,,relu,"(17, 8, 17)"
MultilayerPerceptron,0.47560975609756095,0.5509174529701502,0.6058394160583942,0.04044296044143332,,,,tanh,"(17, 8, 17)"
LogisticRegression,0.4658536585365854,0.5496854786066108,0.6058394160583942,0.04242224225697547,0.0001,,,,
LinearDiscriminantAnalysis,0.47560975609756095,0.5460340632603407,0.5961070559610706,0.04053943267571326,,,,,
LogisticRegression,0.47560975609756095,0.5460340632603407,0.5961070559610706,0.04053943267571326,1.0,,,,
LogisticRegression,0.4609756097560976,0.5445706486261944,0.5961070559610706,0.04323007941925215,10000.0,,,,
QuadraticDiscriminantAnalysis,0.4878048780487805,0.532884101833719,0.573170731707317,0.026478222078095293,,,,,
K-NearestNeighbor,0.4951219512195122,0.5133903032460982,0.559610705596107,0.017956171038193084,,,,,
