estimator,configuration,feature_selection,precision,recall,f1-measure,auc-roc,brier score
LinearDiscriminantAnalysis,{},chi2_20p,0.2247191011235955,0.2564102564102564,0.2395209580838323,0.5575084068936528,0.22438162544169613
LogisticRegression,{'C': 0.0001},chi2_20p,0.2247191011235955,0.2564102564102564,0.2395209580838323,0.5575084068936528,0.22438162544169613
LogisticRegression,{'C': 1.0},chi2_20p,0.2247191011235955,0.2564102564102564,0.2395209580838323,0.5575084068936528,0.22438162544169613
LogisticRegression,{'C': 10000.0},chi2_20p,0.2247191011235955,0.2564102564102564,0.2395209580838323,0.5575084068936528,0.22438162544169613
BernoulliNaiveBayes,{},chi2_20p,0.2247191011235955,0.2564102564102564,0.2395209580838323,0.5575084068936528,0.22438162544169613
DecisionTree,{'criterion': 'gini'},chi2_20p,0.2247191011235955,0.2564102564102564,0.2395209580838323,0.5575084068936528,0.22438162544169613
DecisionTree,{'criterion': 'entropy'},chi2_20p,0.2247191011235955,0.2564102564102564,0.2395209580838323,0.5575084068936528,0.22438162544169613
RandomForest,{'n_estimators': 10},chi2_20p,0.2247191011235955,0.2564102564102564,0.2395209580838323,0.5575084068936528,0.22438162544169613
RandomForest,{'n_estimators': 100},chi2_20p,0.2247191011235955,0.2564102564102564,0.2395209580838323,0.5575084068936528,0.22438162544169613
SupportVectorMachine,{'C': 0.1},chi2_20p,0.2247191011235955,0.2564102564102564,0.2395209580838323,0.5575084068936528,0.22438162544169613
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",chi2_50p,0.20512820512820512,0.3076923076923077,0.2461538461538462,0.5585592686002522,0.2597173144876325
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",chi2_50p,0.20168067226890757,0.3076923076923077,0.2436548223350254,0.5565100882723834,0.26325088339222613
DecisionTree,{'criterion': 'gini'},chi2_50p,0.20512820512820512,0.3076923076923077,0.2461538461538462,0.5585592686002522,0.2597173144876325
DecisionTree,{'criterion': 'entropy'},chi2_50p,0.20512820512820512,0.3076923076923077,0.2461538461538462,0.5585592686002522,0.2597173144876325
SupportVectorMachine,{'C': 100},chi2_50p,0.20168067226890757,0.3076923076923077,0.2436548223350254,0.5565100882723834,0.26325088339222613
BernoulliNaiveBayes,{},chi2_50p,0.143646408839779,0.3333333333333333,0.20077220077220076,0.5078551912568305,0.3657243816254417
SupportVectorMachine,{'C': 0.1},chi2_50p,0.20168067226890757,0.3076923076923077,0.2436548223350254,0.5565100882723834,0.26325088339222613
LogisticRegression,{'C': 0.0001},chi2_50p,0.14207650273224043,0.3333333333333333,0.19923371647509577,0.5058060109289617,0.36925795053003535
RandomForest,{'n_estimators': 100},chi2_50p,0.20168067226890757,0.3076923076923077,0.2436548223350254,0.5565100882723834,0.26325088339222613
RandomForest,{'n_estimators': 10},chi2_50p,0.20512820512820512,0.3076923076923077,0.2461538461538462,0.5585592686002522,0.2597173144876325
BernoulliNaiveBayes,{},mutual_info_classif_20p,0.2247191011235955,0.2564102564102564,0.2395209580838323,0.5575084068936528,0.22438162544169613
SupportVectorMachine,{'C': 0.1},mutual_info_classif_20p,0.2247191011235955,0.2564102564102564,0.2395209580838323,0.5575084068936528,0.22438162544169613
DecisionTree,{'criterion': 'gini'},mutual_info_classif_20p,0.22988505747126436,0.2564102564102564,0.2424242424242424,0.5595575872215216,0.22084805653710246
DecisionTree,{'criterion': 'entropy'},mutual_info_classif_20p,0.22988505747126436,0.2564102564102564,0.2424242424242424,0.5595575872215216,0.22084805653710246
RandomForest,{'n_estimators': 10},mutual_info_classif_20p,0.2247191011235955,0.2564102564102564,0.2395209580838323,0.5575084068936528,0.22438162544169613
RandomForest,{'n_estimators': 100},mutual_info_classif_20p,0.2247191011235955,0.2564102564102564,0.2395209580838323,0.5575084068936528,0.22438162544169613
SupportVectorMachine,{'C': 100},mutual_info_classif_20p,0.2247191011235955,0.2564102564102564,0.2395209580838323,0.5575084068936528,0.22438162544169613
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",mutual_info_classif_20p,0.2247191011235955,0.2564102564102564,0.2395209580838323,0.5575084068936528,0.22438162544169613
LogisticRegression,{'C': 0.0001},mutual_info_classif_20p,0.2247191011235955,0.2564102564102564,0.2395209580838323,0.5575084068936528,0.22438162544169613
LinearDiscriminantAnalysis,{},mutual_info_classif_20p,0.23529411764705882,0.3076923076923077,0.26666666666666666,0.5739281210592686,0.2332155477031802
LinearDiscriminantAnalysis,{},mutual_info_classif_50p,0.1397459165154265,0.9871794871794872,0.24483306836248014,0.5079340058848255,0.8392226148409894
LogisticRegression,{'C': 1.0},mutual_info_classif_50p,0.1397459165154265,0.9871794871794872,0.24483306836248014,0.5079340058848255,0.8392226148409894
LogisticRegression,{'C': 10000.0},mutual_info_classif_50p,0.1397459165154265,0.9871794871794872,0.24483306836248014,0.5079340058848255,0.8392226148409894
BernoulliNaiveBayes,{},mutual_info_classif_50p,0.1397459165154265,0.9871794871794872,0.24483306836248014,0.5079340058848255,0.8392226148409894
DecisionTree,{'criterion': 'gini'},mutual_info_classif_50p,0.1397459165154265,0.9871794871794872,0.24483306836248014,0.5079340058848255,0.8392226148409894
DecisionTree,{'criterion': 'entropy'},mutual_info_classif_50p,0.1397459165154265,0.9871794871794872,0.24483306836248014,0.5079340058848255,0.8392226148409894
RandomForest,{'n_estimators': 10},mutual_info_classif_50p,0.1397459165154265,0.9871794871794872,0.24483306836248014,0.5079340058848255,0.8392226148409894
RandomForest,{'n_estimators': 100},mutual_info_classif_50p,0.1397459165154265,0.9871794871794872,0.24483306836248014,0.5079340058848255,0.8392226148409894
SupportVectorMachine,{'C': 0.1},mutual_info_classif_50p,0.14,0.9871794871794872,0.24522292993630573,0.5089585960487599,0.8374558303886925
SupportVectorMachine,{'C': 100},mutual_info_classif_50p,0.14,0.9871794871794872,0.24522292993630573,0.5089585960487599,0.8374558303886925
LinearDiscriminantAnalysis,{},f_classif_20,0.2247191011235955,0.2564102564102564,0.2395209580838323,0.5575084068936528,0.22438162544169613
