estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.4682926829268293,0.5526170553676341,0.5863746958637469,0.0332683478174683,,gini,,,
DecisionTree,0.4682926829268293,0.5526170553676341,0.5863746958637469,0.0332683478174683,,entropy,,,
SupportVectorMachine,0.4682926829268293,0.5526170553676341,0.5863746958637469,0.0332683478174683,100,,,,
SupportVectorMachine,0.4585365853658537,0.5516390718651712,0.5888077858880778,0.03613459711465177,0.1,,,,
BernoulliNaiveBayes,0.47804878048780486,0.54676399026764,0.5742092457420924,0.030966805282211823,,,,,
LogisticRegression,0.48048780487804876,0.5465218681383895,0.5742092457420924,0.029839624684338116,0.0001,,,,
RandomForest,0.4682926829268293,0.5462755919529998,0.5863746958637469,0.03126043228253464,,,100,,
MultilayerPerceptron,0.4609756097560976,0.5460352501335233,0.5863746958637469,0.03348273031646189,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.4682926829268293,0.5457943148774553,0.5878048780487805,0.03126556292326616,,,,relu,"(17, 8, 17)"
RandomForest,0.4682926829268293,0.54481514450181,0.5853658536585366,0.03339320227515858,,,10,,
