estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
MultilayerPerceptron,0.5073170731707317,0.5579787549700315,0.6399026763990268,0.0380494977214892,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.47317073170731705,0.5550531125749215,0.6399026763990268,0.04365733233265995,,,,relu,"(17, 8, 17)"
DecisionTree,0.47317073170731705,0.5479852827725358,0.6180048661800487,0.04077448725998534,,gini,,,
DecisionTree,0.47317073170731705,0.5479852827725358,0.6180048661800487,0.04077448725998534,,entropy,,,
SupportVectorMachine,0.47317073170731705,0.5479852827725358,0.6180048661800487,0.04077448725998534,100,,,,
BernoulliNaiveBayes,0.47073170731707314,0.5477336656578243,0.5888077858880778,0.04042203369021575,,,,,
SupportVectorMachine,0.47317073170731705,0.5448157379384012,0.610705596107056,0.04246572608455523,0.1,,,,
LogisticRegression,0.47073170731707314,0.5433475758115245,0.583941605839416,0.040366430356559686,0.0001,,,,
RandomForest,0.47317073170731705,0.5419025577117085,0.5951219512195122,0.03381915077766034,,,100,,
RandomForest,0.47317073170731705,0.5414159397068422,0.5951219512195122,0.0334538494432689,,,10,,
