estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
BernoulliNaiveBayes,0.4878048780487805,0.5577235772357723,0.6082725060827251,0.03861338726619426,,,,,
LinearDiscriminantAnalysis,0.4878048780487805,0.5565046584772417,0.6082725060827251,0.038554229343922164,,,,,
LogisticRegression,0.4902439024390244,0.5562619429114,0.6082725060827251,0.03799135432968406,0.0001,,,,
LogisticRegression,0.4902439024390244,0.5540650406504064,0.6058394160583942,0.038027889928608144,10000.0,,,,
LogisticRegression,0.4902439024390244,0.5535766423357664,0.6058394160583942,0.03877957658036417,1.0,,,,
MultilayerPerceptron,0.48292682926829267,0.5521150080113939,0.6082725060827251,0.03916566764881228,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.4878048780487805,0.5511554210432615,0.6009732360097324,0.037213608121730614,,,,relu,"(17, 8, 17)"
DecisionTree,0.4878048780487805,0.5487116491602873,0.6082725060827251,0.037581377915607984,,gini,,,
DecisionTree,0.4878048780487805,0.5487116491602873,0.6082725060827251,0.037581377915607984,,entropy,,,
SupportVectorMachine,0.4878048780487805,0.5487116491602873,0.6082725060827251,0.037581377915607984,100,,,,
