estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LinearDiscriminantAnalysis,0.5121951219512195,0.5258210195240638,0.5401459854014599,0.009553378265563312,,,,,
LogisticRegression,0.5121951219512195,0.5258210195240638,0.5401459854014599,0.009553378265563312,1.0,,,,
LogisticRegression,0.5121951219512195,0.5258210195240638,0.5401459854014599,0.009553378265563312,10000.0,,,,
BernoulliNaiveBayes,0.5121951219512195,0.5258210195240638,0.5401459854014599,0.009553378265563312,,,,,
DecisionTree,0.5121951219512195,0.5258210195240638,0.5401459854014599,0.009553378265563312,,gini,,,
DecisionTree,0.5121951219512195,0.5258210195240638,0.5401459854014599,0.009553378265563312,,entropy,,,
RandomForest,0.5121951219512195,0.5258210195240638,0.5401459854014599,0.009553378265563312,,,10,,
RandomForest,0.5121951219512195,0.5258210195240638,0.5401459854014599,0.009553378265563312,,,100,,
SupportVectorMachine,0.5121951219512195,0.5258210195240638,0.5401459854014599,0.009553378265563312,0.1,,,,
SupportVectorMachine,0.5121951219512195,0.5258210195240638,0.5401459854014599,0.009553378265563312,100,,,,
