estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.49760765550239233,0.6065691126826278,0.7799043062200957,0.0966224604984298,,gini,,,
DecisionTree,0.49760765550239233,0.6065691126826278,0.7799043062200957,0.0966224604984298,,entropy,,,
RandomForest,0.49760765550239233,0.6065691126826278,0.7799043062200957,0.0966224604984298,,,10,,
RandomForest,0.49760765550239233,0.6065691126826278,0.7799043062200957,0.0966224604984298,,,100,,
SupportVectorMachine,0.49760765550239233,0.6065691126826278,0.7799043062200957,0.0966224604984298,100,,,,
SupportVectorMachine,0.49856459330143543,0.6061864290484598,0.7789473684210526,0.09683615652257083,0.1,,,,
MultilayerPerceptron,0.49856459330143543,0.6061864290484598,0.7789473684210526,0.0966632792057215,,,,relu,"(17, 8, 17)"
MultilayerPerceptron,0.49856459330143543,0.6060907352685555,0.7789473684210526,0.09676228718952402,,,,tanh,"(17, 8, 17)"
LinearDiscriminantAnalysis,0.49856459330143543,0.6058995306796453,0.7789473684210526,0.09692060024164122,,,,,
LogisticRegression,0.49856459330143543,0.6058995306796453,0.7789473684210526,0.09692060024164122,1.0,,,,
LogisticRegression,0.49856459330143543,0.6058995306796453,0.7789473684210526,0.09692060024164122,10000.0,,,,
BernoulliNaiveBayes,0.47751196172248805,0.590979809161353,0.7559808612440191,0.10043514705509142,,,,,
LogisticRegression,0.4560229445506692,0.5729962399480362,0.737799043062201,0.10014186077995775,0.0001,,,,
QuadraticDiscriminantAnalysis,0.5330143540669856,0.5443856294656335,0.5564053537284895,0.008601875336297334,,,,,
K-NearestNeighbor,0.5004784688995215,0.5035383827202284,0.5162523900573613,0.004313470186997669,,,,,
