estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LinearDiscriminantAnalysis,0.5033492822966508,0.6101085017427978,0.754066985645933,0.08856681419664358,,,,,
LogisticRegression,0.5033492822966508,0.6101085017427978,0.754066985645933,0.08856681419664358,1.0,,,,
LogisticRegression,0.5033492822966508,0.6101085017427978,0.754066985645933,0.08856681419664358,10000.0,,,,
BernoulliNaiveBayes,0.5033492822966508,0.6101085017427978,0.754066985645933,0.08856681419664358,,,,,
RandomForest,0.5033492822966508,0.6101085017427978,0.754066985645933,0.08856681419664358,,,10,,
SupportVectorMachine,0.5033492822966508,0.6101085017427978,0.754066985645933,0.08856681419664358,0.1,,,,
SupportVectorMachine,0.5033492822966508,0.6101085017427978,0.754066985645933,0.08856681419664358,100,,,,
MultilayerPerceptron,0.5033492822966508,0.6101085017427978,0.754066985645933,0.08856681419664358,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.5033492822966508,0.6101085017427978,0.754066985645933,0.08856681419664358,,,,relu,"(17, 8, 17)"
DecisionTree,0.5033492822966508,0.6100128994483428,0.754066985645933,0.08864172752748004,,gini,,,
DecisionTree,0.5033492822966508,0.6100128994483428,0.754066985645933,0.08864172752748004,,entropy,,,
RandomForest,0.5033492822966508,0.6100128079628935,0.75311004784689,0.08841160065110477,,,100,,
LogisticRegression,0.46220095693779906,0.6017844236874125,0.7521531100478469,0.09541831459941595,0.0001,,,,
QuadraticDiscriminantAnalysis,0.4995215311004785,0.5000000000000001,0.5004784688995215,0.00037062041590500927,,,,,
K-NearestNeighbor,0.49904397705544934,0.499904397705545,0.5004784688995215,0.00046863384537532127,,,,,
