estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
RandomForest,0.5282296650717704,0.6362221083736632,0.8009569377990431,0.09072573997393733,,,100,,
MultilayerPerceptron,0.52868068833652,0.6360310867556513,0.7885167464114833,0.0892978318583249,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.52868068833652,0.6357441883868371,0.8,0.08969805133903012,,,,relu,"(17, 8, 17)"
SupportVectorMachine,0.52868068833652,0.635169568280165,0.7894736842105263,0.08855631618238076,100,,,,
DecisionTree,0.5282296650717704,0.6347869761314463,0.7894736842105263,0.08876231468367157,,gini,,,
DecisionTree,0.5282296650717704,0.6347869761314463,0.7894736842105263,0.08876231468367157,,entropy,,,
RandomForest,0.5267686424474187,0.6344041095263798,0.783732057416268,0.08785464953230554,,,10,,
SupportVectorMachine,0.5210325047801148,0.6288570722826535,0.7808612440191387,0.0878683393346711,0.1,,,,
LinearDiscriminantAnalysis,0.5282296650717704,0.621298361495604,0.7483253588516746,0.07303523933513212,,,,,
LogisticRegression,0.5282296650717704,0.621298361495604,0.7483253588516746,0.07303523933513212,10000.0,,,,
LogisticRegression,0.5282296650717704,0.6211069739357955,0.7473684210526316,0.07292395780337348,1.0,,,,
LogisticRegression,0.45793499043977054,0.5746198322156861,0.7349282296650718,0.0953849057949798,0.0001,,,,
BernoulliNaiveBayes,0.4660287081339713,0.5743328423614223,0.7502392344497608,0.10197850208021683,,,,,
QuadraticDiscriminantAnalysis,0.5,0.515688748204598,0.5330143540669856,0.01124318780932357,,,,,
K-NearestNeighbor,0.5004784688995215,0.5026781450410313,0.5066921606118547,0.002244823684539739,,,,,
