estimator,configuration,feature_selection,precision,recall,f1-measure,auc-roc,brier score
DecisionTree,{'criterion': 'gini'},chi2_20p,0.05887230514096186,0.8606060606060606,0.11020566550252231,0.6112139102580485,0.6160666308436324
DecisionTree,{'criterion': 'entropy'},chi2_20p,0.05887230514096186,0.8606060606060606,0.11020566550252231,0.6112139102580485,0.6160666308436324
RandomForest,{'n_estimators': 10},chi2_20p,0.05887230514096186,0.8606060606060606,0.11020566550252231,0.6112139102580485,0.6160666308436324
RandomForest,{'n_estimators': 100},chi2_20p,0.05887230514096186,0.8606060606060606,0.11020566550252231,0.6112139102580485,0.6160666308436324
SupportVectorMachine,{'C': 100},chi2_20p,0.05887230514096186,0.8606060606060606,0.11020566550252231,0.6112139102580485,0.6160666308436324
SupportVectorMachine,{'C': 0.1},chi2_20p,0.05947955390334572,0.8727272727272727,0.11136890951276102,0.616290541058604,0.6174099946265449
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",chi2_20p,0.05947955390334572,0.8727272727272727,0.11136890951276102,0.616290541058604,0.6174099946265449
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",chi2_20p,0.05947955390334572,0.8727272727272727,0.11136890951276102,0.616290541058604,0.6174099946265449
LinearDiscriminantAnalysis,{},chi2_20p,0.05955334987593052,0.8727272727272727,0.11149825783972125,0.6167122447414828,0.6166039763567974
LogisticRegression,{'C': 1.0},chi2_20p,0.05955334987593052,0.8727272727272727,0.11149825783972125,0.6167122447414828,0.6166039763567974
SupportVectorMachine,{'C': 100},chi2_50p,0.0580539656582175,0.8606060606060606,0.10877058598238223,0.6064346018520885,0.6252015045674368
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",chi2_50p,0.05807770961145194,0.8606060606060606,0.10881226053639846,0.6065751697463815,0.6249328318108544
DecisionTree,{'criterion': 'gini'},chi2_50p,0.057935536515707875,0.8606060606060606,0.10856269113149847,0.6057317623806238,0.6265448683503493
DecisionTree,{'criterion': 'entropy'},chi2_50p,0.057935536515707875,0.8606060606060606,0.10856269113149847,0.6057317623806238,0.6265448683503493
RandomForest,{'n_estimators': 100},chi2_50p,0.05795918367346939,0.8606060606060606,0.10860420650095602,0.6058723302749167,0.6262761955937668
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",chi2_50p,0.05807770961145194,0.8606060606060606,0.10881226053639846,0.6065751697463815,0.6249328318108544
RandomForest,{'n_estimators': 10},chi2_50p,0.05838815789473684,0.8606060606060606,0.10935695032730074,0.6084025523721897,0.6214400859752821
LogisticRegression,{'C': 1.0},chi2_50p,0.057692307692307696,0.8727272727272727,0.10822998872604285,0.6057479489866333,0.6375604513702311
SupportVectorMachine,{'C': 0.1},chi2_50p,0.05841784989858012,0.8727272727272727,0.10950570342205322,0.6101055537097144,0.6292315959161741
LogisticRegression,{'C': 10000.0},chi2_50p,0.05776173285198556,0.8727272727272727,0.10835214446952596,0.606169652669512,0.6367544331004836
LinearDiscriminantAnalysis,{},mutual_info_classif_20p,0.054066130473637175,0.7333333333333333,0.10070744902205576,0.5690844344485053,0.5806018269747447
LogisticRegression,{'C': 1.0},mutual_info_classif_20p,0.054066130473637175,0.7333333333333333,0.10070744902205576,0.5690844344485053,0.5806018269747447
LogisticRegression,{'C': 10000.0},mutual_info_classif_20p,0.054066130473637175,0.7333333333333333,0.10070744902205576,0.5690844344485053,0.5806018269747447
BernoulliNaiveBayes,{},mutual_info_classif_20p,0.054066130473637175,0.7333333333333333,0.10070744902205576,0.5690844344485053,0.5806018269747447
DecisionTree,{'criterion': 'gini'},mutual_info_classif_20p,0.054066130473637175,0.7333333333333333,0.10070744902205576,0.5690844344485053,0.5806018269747447
DecisionTree,{'criterion': 'entropy'},mutual_info_classif_20p,0.054066130473637175,0.7333333333333333,0.10070744902205576,0.5690844344485053,0.5806018269747447
RandomForest,{'n_estimators': 10},mutual_info_classif_20p,0.054066130473637175,0.7333333333333333,0.10070744902205576,0.5690844344485053,0.5806018269747447
RandomForest,{'n_estimators': 100},mutual_info_classif_20p,0.054066130473637175,0.7333333333333333,0.10070744902205576,0.5690844344485053,0.5806018269747447
SupportVectorMachine,{'C': 0.1},mutual_info_classif_20p,0.054066130473637175,0.7333333333333333,0.10070744902205576,0.5690844344485053,0.5806018269747447
SupportVectorMachine,{'C': 100},mutual_info_classif_20p,0.054066130473637175,0.7333333333333333,0.10070744902205576,0.5690844344485053,0.5806018269747447
LinearDiscriminantAnalysis,{},mutual_info_classif_50p,0.059218815623687526,0.8545454545454545,0.11076197957580519,0.6124006440565338,0.6082751209027405
LogisticRegression,{'C': 1.0},mutual_info_classif_50p,0.05919395465994962,0.8545454545454545,0.11071849234393405,0.6122600761622409,0.608543793659323
LogisticRegression,{'C': 10000.0},mutual_info_classif_50p,0.059218815623687526,0.8545454545454545,0.11076197957580519,0.6124006440565338,0.6082751209027405
BernoulliNaiveBayes,{},mutual_info_classif_50p,0.059218815623687526,0.8545454545454545,0.11076197957580519,0.6124006440565338,0.6082751209027405
RandomForest,{'n_estimators': 10},mutual_info_classif_50p,0.059218815623687526,0.8545454545454545,0.11076197957580519,0.6124006440565338,0.6082751209027405
SupportVectorMachine,{'C': 0.1},mutual_info_classif_50p,0.059218815623687526,0.8545454545454545,0.11076197957580519,0.6124006440565338,0.6082751209027405
SupportVectorMachine,{'C': 100},mutual_info_classif_50p,0.059218815623687526,0.8545454545454545,0.11076197957580519,0.6124006440565338,0.6082751209027405
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",mutual_info_classif_50p,0.05919395465994962,0.8545454545454545,0.11071849234393405,0.6122600761622409,0.608543793659323
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",mutual_info_classif_50p,0.059218815623687526,0.8545454545454545,0.11076197957580519,0.6124006440565338,0.6082751209027405
DecisionTree,{'criterion': 'gini'},mutual_info_classif_50p,0.059218815623687526,0.8545454545454545,0.11076197957580519,0.6124006440565338,0.6082751209027405
DecisionTree,{'criterion': 'gini'},f_classif_20,0.0589456205894562,0.8606060606060606,0.11033411033411034,0.6116356139409274,0.615260612573885
DecisionTree,{'criterion': 'entropy'},f_classif_20,0.0589456205894562,0.8606060606060606,0.11033411033411034,0.6116356139409274,0.615260612573885
RandomForest,{'n_estimators': 100},f_classif_20,0.0589456205894562,0.8606060606060606,0.11033411033411034,0.6116356139409274,0.615260612573885
RandomForest,{'n_estimators': 10},f_classif_20,0.0589456205894562,0.8606060606060606,0.11033411033411034,0.6116356139409274,0.615260612573885
SupportVectorMachine,{'C': 100},f_classif_20,0.0589456205894562,0.8606060606060606,0.11033411033411034,0.6116356139409274,0.615260612573885
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",f_classif_20,0.05955334987593052,0.8727272727272727,0.11149825783972125,0.6167122447414828,0.6166039763567974
