estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
RandomForest,0.5191204588910134,0.637655685363243,0.784688995215311,0.08671283971208119,,,100,,
RandomForest,0.5191204588910134,0.6376555023923445,0.783732057416268,0.08675540053697539,,,10,,
SupportVectorMachine,0.5191204588910134,0.6374642978034344,0.784688995215311,0.08656856943083334,100,,,,
MultilayerPerceptron,0.5191204588910134,0.6374642978034344,0.784688995215311,0.08671336813874155,,,,relu,"(17, 8, 17)"
DecisionTree,0.5191204588910134,0.63736860402353,0.784688995215311,0.08668865342599041,,gini,,,
DecisionTree,0.5191204588910134,0.63736860402353,0.784688995215311,0.08668865342599041,,entropy,,,
MultilayerPerceptron,0.5181644359464627,0.6366989305350984,0.783732057416268,0.08700018955354516,,,,tanh,"(17, 8, 17)"
SupportVectorMachine,0.5191204588910134,0.6345941248044499,0.784688995215311,0.0878969603615819,0.1,,,,
LinearDiscriminantAnalysis,0.5181644359464627,0.6340207854940672,0.7827751196172249,0.08712563844371235,,,,,
LogisticRegression,0.5181644359464627,0.6339251831996121,0.7827751196172249,0.08712420727493726,10000.0,,,,
