estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
MultilayerPerceptron,0.5342857142857143,0.6192193732193731,0.6638176638176638,0.03741740119825894,,,,tanh,"(17, 8, 17)"
DecisionTree,0.54,0.6175099715099716,0.6552706552706553,0.033814003643079966,,gini,,,
DecisionTree,0.54,0.6175099715099716,0.6552706552706553,0.033814003643079966,,entropy,,,
MultilayerPerceptron,0.5371428571428571,0.6172258852258852,0.6552706552706553,0.0351796161220426,,,,relu,"(17, 8, 17)"
RandomForest,0.5371428571428571,0.616939356939357,0.6552706552706553,0.03478034002742607,,,10,,
LogisticRegression,0.5628571428571428,0.6160927960927961,0.6571428571428571,0.029024459378666854,1.0,,,,
RandomForest,0.5314285714285715,0.6157981277981278,0.6514285714285715,0.03553020250425226,,,100,,
LinearDiscriminantAnalysis,0.5628571428571428,0.6155229955229956,0.6571428571428571,0.02931100898201691,,,,,
LogisticRegression,0.5628571428571428,0.6155229955229956,0.6571428571428571,0.02931100898201691,10000.0,,,,
SupportVectorMachine,0.5314285714285715,0.6152275132275132,0.6495726495726496,0.03535627974139219,100,,,,
SupportVectorMachine,0.54,0.6138078958078957,0.6514285714285715,0.03325872912552395,0.1,,,,
BernoulliNaiveBayes,0.5257142857142857,0.5978306878306878,0.6381766381766382,0.037515063010572676,,,,,
LogisticRegression,0.5028571428571429,0.5963996743996743,0.6438746438746439,0.04294666258894359,0.0001,,,,
K-NearestNeighbor,0.5299145299145299,0.5636231176231176,0.62,0.027196767672318854,,,,,
QuadraticDiscriminantAnalysis,0.4985754985754986,0.5002849002849004,0.5014245014245015,0.0010659992554911575,,,,,
