estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LinearDiscriminantAnalysis,0.5498575498575499,0.606961334961335,0.6381766381766382,0.02565262415737793,,,,,
LogisticRegression,0.5498575498575499,0.606961334961335,0.6381766381766382,0.02565262415737793,1.0,,,,
LogisticRegression,0.5498575498575499,0.606961334961335,0.6381766381766382,0.02565262415737793,10000.0,,,,
MultilayerPerceptron,0.5527065527065527,0.6023899063899064,0.6381766381766382,0.02428836334760542,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.5384615384615384,0.6018241758241758,0.6296296296296297,0.02636114268882511,,,,relu,"(17, 8, 17)"
SupportVectorMachine,0.5498575498575499,0.6018217338217338,0.6353276353276354,0.024618204062290015,0.1,,,,
RandomForest,0.5413105413105413,0.6012551892551893,0.6296296296296297,0.02480063658969082,,,10,,
SupportVectorMachine,0.5413105413105413,0.6012519332519333,0.6296296296296297,0.025943347306127674,100,,,,
DecisionTree,0.5413105413105413,0.6003972323972324,0.6296296296296297,0.025791735906873604,,gini,,,
DecisionTree,0.5413105413105413,0.6003972323972324,0.6296296296296297,0.025791735906873604,,entropy,,,
