estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.6565464895635673,0.6940462190027489,0.7452471482889734,0.028883707133530556,,gini,,,
DecisionTree,0.6565464895635673,0.6940462190027489,0.7452471482889734,0.028883707133530556,,entropy,,,
RandomForest,0.6565464895635673,0.6940462190027489,0.7452471482889734,0.028883707133530556,,,10,,
RandomForest,0.6565464895635673,0.6940462190027489,0.7452471482889734,0.028883707133530556,,,100,,
SupportVectorMachine,0.6565464895635673,0.6940462190027489,0.7452471482889734,0.028883707133530556,100,,,,
MultilayerPerceptron,0.655893536121673,0.6929055345921025,0.7395437262357415,0.028271697842546625,,,,relu,"(17, 8, 17)"
QuadraticDiscriminantAnalysis,0.6565464895635673,0.6927154205236615,0.7395437262357415,0.027281714444573186,,,,,
SupportVectorMachine,0.6565464895635673,0.6927154205236615,0.7395437262357415,0.027281714444573186,0.1,,,,
MultilayerPerceptron,0.6565464895635673,0.6921454390660962,0.7395437262357415,0.02713268427417378,,,,tanh,"(17, 8, 17)"
LinearDiscriminantAnalysis,0.6223908918406073,0.6706704857829309,0.7243346007604563,0.0320579384357908,,,,,
LogisticRegression,0.6223908918406073,0.6704803717144898,0.7243346007604563,0.03197013362712891,10000.0,,,,
LogisticRegression,0.6223908918406073,0.670098339838818,0.7243346007604563,0.030393024564213642,1.0,,,,
BernoulliNaiveBayes,0.6053130929791272,0.6655395704215697,0.7281368821292775,0.036219223668866506,,,,,
LogisticRegression,0.6053130929791272,0.6509069198634931,0.7319391634980988,0.044757271002193386,0.0001,,,,
K-NearestNeighbor,0.5009487666034156,0.5811664418005642,0.7034220532319392,0.0635158934927339,,,,,
