estimator,configuration,feature_selection,precision,recall,f1-measure,auc-roc,brier score
DecisionTree,{'criterion': 'gini'},chi2_20p,0.2430939226519337,0.275,0.2580645161290323,0.5518749999999999,0.2635416666666667
DecisionTree,{'criterion': 'entropy'},chi2_20p,0.2430939226519337,0.275,0.2580645161290323,0.5518749999999999,0.2635416666666667
RandomForest,{'n_estimators': 10},chi2_20p,0.2430939226519337,0.275,0.2580645161290323,0.5518749999999999,0.2635416666666667
RandomForest,{'n_estimators': 100},chi2_20p,0.2430939226519337,0.275,0.2580645161290323,0.5518749999999999,0.2635416666666667
SupportVectorMachine,{'C': 100},chi2_20p,0.2430939226519337,0.275,0.2580645161290323,0.5518749999999999,0.2635416666666667
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",chi2_20p,0.24175824175824176,0.275,0.2573099415204678,0.55125,0.26458333333333334
QuadraticDiscriminantAnalysis,{},chi2_20p,0.2391304347826087,0.275,0.2558139534883721,0.5499999999999999,0.26666666666666666
SupportVectorMachine,{'C': 0.1},chi2_20p,0.2391304347826087,0.275,0.2558139534883721,0.5499999999999999,0.26666666666666666
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",chi2_20p,0.2391304347826087,0.275,0.2558139534883721,0.5499999999999999,0.26666666666666666
LinearDiscriminantAnalysis,{},chi2_20p,0.2364341085271318,0.38125,0.291866028708134,0.5675,0.30833333333333335
DecisionTree,{'criterion': 'gini'},chi2_50p,0.23870967741935484,0.23125,0.23492063492063495,0.5418750000000001,0.25104166666666666
DecisionTree,{'criterion': 'entropy'},chi2_50p,0.23870967741935484,0.23125,0.23492063492063495,0.5418750000000001,0.25104166666666666
SupportVectorMachine,{'C': 100},chi2_50p,0.23870967741935484,0.23125,0.23492063492063495,0.5418750000000001,0.25104166666666666
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",chi2_50p,0.23417721518987342,0.23125,0.2327044025157233,0.54,0.25416666666666665
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",chi2_50p,0.23870967741935484,0.23125,0.23492063492063495,0.5418750000000001,0.25104166666666666
RandomForest,{'n_estimators': 100},chi2_50p,0.23870967741935484,0.23125,0.23492063492063495,0.5418750000000001,0.25104166666666666
SupportVectorMachine,{'C': 0.1},chi2_50p,0.22093023255813954,0.2375,0.2289156626506024,0.535,0.26666666666666666
RandomForest,{'n_estimators': 10},chi2_50p,0.24277456647398843,0.2625,0.2522522522522523,0.549375,0.259375
LogisticRegression,{'C': 1.0},chi2_50p,0.2301255230125523,0.34375,0.2756892230576441,0.556875,0.30104166666666665
LogisticRegression,{'C': 10000.0},chi2_50p,0.2301255230125523,0.34375,0.2756892230576441,0.556875,0.30104166666666665
BernoulliNaiveBayes,{},mutual_info_classif_20p,0.29120879120879123,0.33125,0.30994152046783624,0.585,0.24583333333333332
DecisionTree,{'criterion': 'gini'},mutual_info_classif_20p,0.29120879120879123,0.33125,0.30994152046783624,0.585,0.24583333333333332
DecisionTree,{'criterion': 'entropy'},mutual_info_classif_20p,0.29120879120879123,0.33125,0.30994152046783624,0.585,0.24583333333333332
RandomForest,{'n_estimators': 10},mutual_info_classif_20p,0.29120879120879123,0.33125,0.30994152046783624,0.585,0.24583333333333332
RandomForest,{'n_estimators': 100},mutual_info_classif_20p,0.29120879120879123,0.33125,0.30994152046783624,0.585,0.24583333333333332
SupportVectorMachine,{'C': 0.1},mutual_info_classif_20p,0.29120879120879123,0.33125,0.30994152046783624,0.585,0.24583333333333332
SupportVectorMachine,{'C': 100},mutual_info_classif_20p,0.29120879120879123,0.33125,0.30994152046783624,0.585,0.24583333333333332
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",mutual_info_classif_20p,0.30434782608695654,0.21875,0.2545454545454546,0.5593750000000001,0.21354166666666666
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",mutual_info_classif_20p,0.29120879120879123,0.33125,0.30994152046783624,0.585,0.24583333333333332
