estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.6565464895635673,0.6940462190027489,0.7452471482889734,0.028883707133530556,,gini,,,
DecisionTree,0.6565464895635673,0.6940462190027489,0.7452471482889734,0.028883707133530556,,entropy,,,
RandomForest,0.6565464895635673,0.6940462190027489,0.7452471482889734,0.028883707133530556,,,10,,
RandomForest,0.6565464895635673,0.6940462190027489,0.7452471482889734,0.028883707133530556,,,100,,
SupportVectorMachine,0.6565464895635673,0.6940462190027489,0.7452471482889734,0.028883707133530556,100,,,,
MultilayerPerceptron,0.655893536121673,0.6929055345921025,0.7395437262357415,0.028271697842546625,,,,relu,"(17, 8, 17)"
QuadraticDiscriminantAnalysis,0.6565464895635673,0.6927154205236615,0.7395437262357415,0.027281714444573186,,,,,
SupportVectorMachine,0.6565464895635673,0.6927154205236615,0.7395437262357415,0.027281714444573186,0.1,,,,
MultilayerPerceptron,0.6565464895635673,0.6921454390660962,0.7395437262357415,0.02713268427417378,,,,tanh,"(17, 8, 17)"
LinearDiscriminantAnalysis,0.6223908918406073,0.6706704857829309,0.7243346007604563,0.0320579384357908,,,,,
