estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
BernoulliNaiveBayes,0.5635673624288425,0.610048268050014,0.6482889733840305,0.028107887872877848,,,,,
DecisionTree,0.5635673624288425,0.610048268050014,0.6482889733840305,0.028107887872877848,,gini,,,
DecisionTree,0.5635673624288425,0.610048268050014,0.6482889733840305,0.028107887872877848,,entropy,,,
RandomForest,0.5635673624288425,0.610048268050014,0.6482889733840305,0.028107887872877848,,,10,,
RandomForest,0.5635673624288425,0.610048268050014,0.6482889733840305,0.028107887872877848,,,100,,
SupportVectorMachine,0.5635673624288425,0.610048268050014,0.6482889733840305,0.028107887872877848,0.1,,,,
SupportVectorMachine,0.5635673624288425,0.610048268050014,0.6482889733840305,0.028107887872877848,100,,,,
MultilayerPerceptron,0.5635673624288425,0.610048268050014,0.6482889733840305,0.028107887872877848,,,,relu,"(17, 8, 17)"
MultilayerPerceptron,0.5521821631878557,0.6087196340574743,0.6482889733840305,0.029954092998684383,,,,tanh,"(17, 8, 17)"
LinearDiscriminantAnalysis,0.5521821631878557,0.6070086074415049,0.6577946768060836,0.03190704583525244,,,,,
