estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
RandomForest,0.5106277805239743,0.5270916360958767,0.5452298566485417,0.010238536328731895,,,100,,
SupportVectorMachine,0.50914483440435,0.5268939588403,0.5457241720217498,0.010765478553189297,100,,,,
DecisionTree,0.5096391497775581,0.5268445028561259,0.5452298566485417,0.010554255383896805,,gini,,,
DecisionTree,0.5096391497775581,0.5268445028561259,0.5452298566485417,0.010554255383896805,,entropy,,,
RandomForest,0.5051903114186851,0.5262019662115152,0.5422639644092931,0.010844558124578511,,,10,,
MultilayerPerceptron,0.5138476755687438,0.525805291570285,0.5407810182896688,0.009205531105323496,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.50914483440435,0.525411403870328,0.5445103857566765,0.011043445949196167,,,,relu,"(17, 8, 17)"
SupportVectorMachine,0.5037073652990608,0.5250153404004296,0.541769649036085,0.010518243552145937,0.1,,,,
LogisticRegression,0.504695996045477,0.521406251451532,0.5392980721700444,0.01140390448059419,0.0001,,,,
LogisticRegression,0.49975284231339595,0.5202205057271644,0.5420375865479723,0.011727365759044876,1.0,,,,
LinearDiscriminantAnalysis,0.49975284231339595,0.5201710741898435,0.5420375865479723,0.01176243412875162,,,,,
LogisticRegression,0.49975284231339595,0.5201216426525227,0.5420375865479723,0.01171404870916716,10000.0,,,,
BernoulliNaiveBayes,0.4836795252225519,0.5142365761106328,0.5397923875432526,0.014870875633399784,,,,,
K-NearestNeighbor,0.4910979228486647,0.5107263991300832,0.5304003954522986,0.01046700227106818,,,,,
QuadraticDiscriminantAnalysis,0.48615232443125617,0.49807155887315646,0.504695996045477,0.005992415686640481,,,,,
