estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.5056846267918932,0.5257075774977473,0.5459940652818991,0.014636430781210543,,gini,,,
DecisionTree,0.5056846267918932,0.5257075774977473,0.5459940652818991,0.014636430781210543,,entropy,,,
SupportVectorMachine,0.5056846267918932,0.5256087144231056,0.5459940652818991,0.014711053316844087,100,,,,
RandomForest,0.5056846267918932,0.5255592828857849,0.5459940652818991,0.014694029097768952,,,10,,
RandomForest,0.5056846267918932,0.5255592828857849,0.5459940652818991,0.014694029097768952,,,100,,
SupportVectorMachine,0.5051903114186851,0.5255098513484641,0.5459940652818991,0.014853889932762768,0.1,,,,
MultilayerPerceptron,0.5027187345526446,0.5196749497494931,0.5388037567968363,0.012558270627748279,,,,tanh,"(17, 8, 17)"
QuadraticDiscriminantAnalysis,0.5044510385756676,0.5193290756693671,0.5318833415719229,0.009062226531076065,,,,,
MultilayerPerceptron,0.5027187345526446,0.5189829082270018,0.5437469105289174,0.012386720617256191,,,,relu,"(17, 8, 17)"
BernoulliNaiveBayes,0.4910979228486647,0.5162141309657045,0.5422639644092931,0.016768068677625442,,,,,
LogisticRegression,0.4910979228486647,0.5110238195470194,0.536826495304004,0.01302840951705521,0.0001,,,,
LogisticRegression,0.4910979228486647,0.5088982634422246,0.5284231339594662,0.011564907731081979,10000.0,,,,
LinearDiscriminantAnalysis,0.4910979228486647,0.508749968830262,0.5269401878398419,0.011320518815934695,,,,,
LogisticRegression,0.4910979228486647,0.508749968830262,0.5269401878398419,0.011320518815934695,1.0,,,,
K-NearestNeighbor,0.4824518042511122,0.5053397305858981,0.522985664854177,0.01279618391793716,,,,,
