estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
RandomForest,0.5096391497775581,0.5262019173178086,0.5390702274975272,0.008852223643113484,,,10,,
DecisionTree,0.5096391497775581,0.5258064405723889,0.5385756676557863,0.008635085382953938,,gini,,,
DecisionTree,0.5096391497775581,0.5258064405723889,0.5385756676557863,0.008635085382953938,,entropy,,,
SupportVectorMachine,0.5096391497775581,0.5258064405723889,0.5385756676557863,0.008635085382953938,100,,,,
SupportVectorMachine,0.5101334651507662,0.5256086899762524,0.5380811078140455,0.008363330081033446,0.1,,,,
MultilayerPerceptron,0.5096391497775581,0.5255098757953174,0.5397923875432526,0.010599075364005017,,,,relu,"(17, 8, 17)"
RandomForest,0.5096391497775581,0.5253119296243546,0.5346191889218596,0.008090697451568797,,,100,,
LinearDiscriminantAnalysis,0.5106277805239743,0.5241746375631767,0.5326409495548962,0.007328043502772219,,,,,
LogisticRegression,0.5106277805239743,0.5240757744885352,0.5326409495548962,0.007310050840450304,10000.0,,,,
LogisticRegression,0.4980217606330366,0.5207127186709909,0.5318833415719229,0.010146171320288302,1.0,,,,
MultilayerPerceptron,0.5044510385756676,0.5205153347776534,0.532871972318339,0.008203597889021039,,,,tanh,"(17, 8, 17)"
LogisticRegression,0.4821958456973294,0.5092943269121228,0.5420375865479723,0.019523967441734808,0.0001,,,,
BernoulliNaiveBayes,0.4807121661721068,0.5056352197014256,0.5244686109738013,0.01319042068659292,,,,,
QuadraticDiscriminantAnalysis,0.47602570439940683,0.5007927381111286,0.5361028684470821,0.013830726351905466,,,,,
K-NearestNeighbor,0.4799802273850717,0.4987154889884039,0.526706231454006,0.013570715254918963,,,,,
