estimator,configuration,feature_selection,precision,recall,f1-measure,auc-roc,brier score
DecisionTree,{'criterion': 'gini'},chi2_20p,0.18667013798489976,0.8298611111111112,0.3047821466524973,0.5226653621853898,0.6749896822121337
DecisionTree,{'criterion': 'entropy'},chi2_20p,0.18667013798489976,0.8298611111111112,0.3047821466524973,0.5226653621853898,0.6749896822121337
SupportVectorMachine,{'C': 100},chi2_20p,0.18667013798489976,0.8298611111111112,0.3047821466524973,0.5226653621853898,0.6749896822121337
RandomForest,{'n_estimators': 10},chi2_20p,0.18667013798489976,0.8298611111111112,0.3047821466524973,0.5226653621853898,0.6749896822121337
RandomForest,{'n_estimators': 100},chi2_20p,0.18667013798489976,0.8298611111111112,0.3047821466524973,0.5226653621853898,0.6749896822121337
SupportVectorMachine,{'C': 0.1},chi2_20p,0.1865729898516784,0.8298611111111112,0.30465264499681327,0.5224142321000056,0.675402393726785
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",chi2_20p,0.18664563617245006,0.8217592592592593,0.3041988003427592,0.5223813875402273,0.6702434997936443
QuadraticDiscriminantAnalysis,{},chi2_20p,0.2710526315789474,0.11921296296296297,0.16559485530546622,0.5248249646557658,0.2141972761040033
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",chi2_20p,0.1865729898516784,0.8298611111111112,0.30465264499681327,0.5224142321000056,0.675402393726785
BernoulliNaiveBayes,{},chi2_20p,0.22036474164133737,0.16782407407407407,0.19053876478318002,0.5194971701359823,0.2542302930251754
RandomForest,{'n_estimators': 10},chi2_50p,0.1906625663964216,0.7893518518518519,0.30713803197478046,0.5311651273322544,0.6349566652909616
DecisionTree,{'criterion': 'gini'},chi2_50p,0.1906625663964216,0.7893518518518519,0.30713803197478046,0.5311651273322544,0.6349566652909616
DecisionTree,{'criterion': 'entropy'},chi2_50p,0.1906625663964216,0.7893518518518519,0.30713803197478046,0.5311651273322544,0.6349566652909616
SupportVectorMachine,{'C': 0.1},chi2_50p,0.19050279329608938,0.7893518518518519,0.3069306930693069,0.530788432204178,0.6355757325629385
SupportVectorMachine,{'C': 100},chi2_50p,0.1906625663964216,0.7893518518518519,0.30713803197478046,0.5311651273322544,0.6349566652909616
RandomForest,{'n_estimators': 100},chi2_50p,0.1906625663964216,0.7893518518518519,0.30713803197478046,0.5311651273322544,0.6349566652909616
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",chi2_50p,0.2717678100263852,0.11921296296296297,0.16572807723250202,0.5249505296984579,0.21399092034667766
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",chi2_50p,0.2631578947368421,0.12731481481481483,0.171606864274571,0.5249833742582362,0.21914981427981842
LinearDiscriminantAnalysis,{},chi2_50p,0.1878930817610063,0.8298611111111112,0.30641025641025643,0.5258044882526928,0.669830788278993
LogisticRegression,{'C': 1.0},chi2_50p,0.1878930817610063,0.8298611111111112,0.30641025641025643,0.5258044882526928,0.669830788278993
DecisionTree,{'criterion': 'gini'},mutual_info_classif_20p,0.19353023909985936,0.7962962962962963,0.3113826657614845,0.5381531707498558,0.6279405695418903
DecisionTree,{'criterion': 'entropy'},mutual_info_classif_20p,0.19353023909985936,0.7962962962962963,0.3113826657614845,0.5381531707498558,0.6279405695418903
RandomForest,{'n_estimators': 100},mutual_info_classif_20p,0.19353023909985936,0.7962962962962963,0.3113826657614845,0.5381531707498558,0.6279405695418903
SupportVectorMachine,{'C': 100},mutual_info_classif_20p,0.19353023909985936,0.7962962962962963,0.3113826657614845,0.5381531707498558,0.6279405695418903
SupportVectorMachine,{'C': 0.1},mutual_info_classif_20p,0.19331272829446475,0.7962962962962963,0.31110106262717613,0.5376509105790874,0.6287659925711927
RandomForest,{'n_estimators': 10},mutual_info_classif_20p,0.19353023909985936,0.7962962962962963,0.3113826657614845,0.5381531707498558,0.6279405695418903
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",mutual_info_classif_20p,0.2552204176334107,0.12731481481481483,0.1698841698841699,0.5233510287032387,0.2218324391250516
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",mutual_info_classif_20p,0.19331272829446475,0.7962962962962963,0.31110106262717613,0.5376509105790874,0.6287659925711927
QuadraticDiscriminantAnalysis,{},mutual_info_classif_20p,0.17901234567901234,0.2013888888888889,0.18954248366013074,0.500493540376137,0.30705736690053653
LinearDiscriminantAnalysis,{},mutual_info_classif_20p,0.18238993710691823,0.2013888888888889,0.1914191419141914,0.5027537111445951,0.3033429632686752
RandomForest,{'n_estimators': 10},mutual_info_classif_50p,0.19501133786848074,0.7962962962962963,0.3132969034608379,0.541543426902543,0.6223689640940983
DecisionTree,{'criterion': 'gini'},mutual_info_classif_50p,0.19486143187066973,0.78125,0.3119223659889094,0.5404240959316926,0.6145274453157243
DecisionTree,{'criterion': 'entropy'},mutual_info_classif_50p,0.19486143187066973,0.78125,0.3119223659889094,0.5404240959316926,0.6145274453157243
SupportVectorMachine,{'C': 100},mutual_info_classif_50p,0.19486143187066973,0.78125,0.3119223659889094,0.5404240959316926,0.6145274453157243
SupportVectorMachine,{'C': 0.1},mutual_info_classif_50p,0.19458057076967425,0.78125,0.31156242787906757,0.539796270718232,0.6155592241023524
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",mutual_info_classif_50p,0.19467271181637857,0.7951388888888888,0.3127703164124744,0.540713593113455,0.6229880313660752
RandomForest,{'n_estimators': 100},mutual_info_classif_50p,0.19480519480519481,0.78125,0.3118503118503119,0.5402985308890005,0.61473380107305
LinearDiscriminantAnalysis,{},mutual_info_classif_50p,0.19439728353140917,0.7951388888888888,0.31241473396998637,0.5400857678999944,0.6240198101527032
LogisticRegression,{'C': 10000.0},mutual_info_classif_50p,0.19439728353140917,0.7951388888888888,0.31241473396998637,0.5400857678999944,0.6240198101527032
LogisticRegression,{'C': 1.0},mutual_info_classif_50p,0.19439728353140917,0.7951388888888888,0.31241473396998637,0.5400857678999944,0.6240198101527032
DecisionTree,{'criterion': 'gini'},f_classif_20,0.18667013798489976,0.8298611111111112,0.3047821466524973,0.5226653621853898,0.6749896822121337
DecisionTree,{'criterion': 'entropy'},f_classif_20,0.18667013798489976,0.8298611111111112,0.3047821466524973,0.5226653621853898,0.6749896822121337
SupportVectorMachine,{'C': 100},f_classif_20,0.18667013798489976,0.8298611111111112,0.3047821466524973,0.5226653621853898,0.6749896822121337
RandomForest,{'n_estimators': 10},f_classif_20,0.18667013798489976,0.8298611111111112,0.3047821466524973,0.5226653621853898,0.6749896822121337
RandomForest,{'n_estimators': 100},f_classif_20,0.18667013798489976,0.8298611111111112,0.3047821466524973,0.5226653621853898,0.6749896822121337
SupportVectorMachine,{'C': 0.1},f_classif_20,0.1865729898516784,0.8298611111111112,0.30465264499681327,0.5224142321000056,0.675402393726785
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",f_classif_20,0.2637889688249401,0.12731481481481483,0.1717408274785324,0.5251089393009283,0.21894345852249278
QuadraticDiscriminantAnalysis,{},f_classif_20,0.2710526315789474,0.11921296296296297,0.16559485530546622,0.5248249646557658,0.2141972761040033
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",f_classif_20,0.1865729898516784,0.8298611111111112,0.30465264499681327,0.5224142321000056,0.675402393726785
BernoulliNaiveBayes,{},f_classif_20,0.22036474164133737,0.16782407407407407,0.19053876478318002,0.5194971701359823,0.2542302930251754
SupportVectorMachine,{'C': 100},f_classif_50,0.19060927892677473,0.7893518518518519,0.3070688878883386,0.5310395622895623,0.6351630210482873
DecisionTree,{'criterion': 'gini'},f_classif_50,0.19060927892677473,0.7893518518518519,0.3070688878883386,0.5310395622895623,0.6351630210482873
DecisionTree,{'criterion': 'entropy'},f_classif_50,0.19060927892677473,0.7893518518518519,0.3070688878883386,0.5310395622895623,0.6351630210482873
SupportVectorMachine,{'C': 0.1},f_classif_50,0.19050279329608938,0.7893518518518519,0.3069306930693069,0.530788432204178,0.6355757325629385
RandomForest,{'n_estimators': 100},f_classif_50,0.19060927892677473,0.7893518518518519,0.3070688878883386,0.5310395622895623,0.6351630210482873
RandomForest,{'n_estimators': 10},f_classif_50,0.19055602123498183,0.7893518518518519,0.3069997749268512,0.5309139972468702,0.6353693768056129
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",f_classif_50,0.19055602123498183,0.7893518518518519,0.3069997749268512,0.5309139972468702,0.6353693768056129
LinearDiscriminantAnalysis,{},f_classif_50,0.19030166337750212,0.78125,0.3060530491951939,0.5300021973882472,0.6316549731737515
LogisticRegression,{'C': 10000.0},f_classif_50,0.19030166337750212,0.78125,0.3060530491951939,0.5300021973882472,0.6316549731737515
MultilayerPerceptron,"{'activation': 'tanh', 'hidden_layer_sizes': (17, 8, 17)}",f_classif_50,0.2717678100263852,0.11921296296296297,0.16572807723250202,0.5249505296984579,0.21399092034667766
SupportVectorMachine,{'C': 0.1},recursive_elimination,0.19398584905660377,0.7615740740740741,0.30921052631578944,0.537492210316796,0.6066859265373504
DecisionTree,{'criterion': 'gini'},recursive_elimination,0.19357664233576644,0.7673611111111112,0.3091629750524598,0.5368699076399353,0.6114321089558399
RandomForest,{'n_estimators': 100},recursive_elimination,0.19434731934731936,0.7719907407407407,0.31052141527001864,0.5388080273266738,0.6112257531985142
DecisionTree,{'criterion': 'entropy'},recursive_elimination,0.19357664233576644,0.7673611111111112,0.3091629750524598,0.5368699076399353,0.6114321089558399
SupportVectorMachine,{'C': 100},recursive_elimination,0.19346367084913918,0.7673611111111112,0.3090188767187136,0.536618777554551,0.6118448204704912
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",recursive_elimination,0.18667699457784662,0.8368055555555556,0.305256491450285,0.522872893297617,0.6791167973586463
RandomForest,{'n_estimators': 10},recursive_elimination,0.19487783338239623,0.7662037037037037,0.3107251818821873,0.5396814600889186,0.6060668592653735
