estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
SupportVectorMachine,0.5165595650024716,0.5300078523292717,0.5447355412753336,0.008215559149561753,100,,,,
DecisionTree,0.5165595650024716,0.5300078278824184,0.5447355412753336,0.008190117902427985,,gini,,,
DecisionTree,0.5165595650024716,0.5300078278824184,0.5447355412753336,0.008190117902427985,,entropy,,,
SupportVectorMachine,0.5165595650024716,0.5299089648077768,0.5447355412753336,0.008190749388761315,0.1,,,,
RandomForest,0.5165595650024716,0.5298101017331353,0.5447355412753336,0.008178245158816728,,,100,,
RandomForest,0.5165595650024716,0.5297606701958144,0.5442412259021255,0.008088888077240714,,,10,,
MultilayerPerceptron,0.5116164112703905,0.5282283169857225,0.5447355412753336,0.010129839186307703,,,,relu,"(17, 8, 17)"
LinearDiscriminantAnalysis,0.5121107266435986,0.5262508599180639,0.5388037567968363,0.008079211326493448,,,,,
LogisticRegression,0.5121107266435986,0.5262508599180639,0.5388037567968363,0.008079211326493448,10000.0,,,,
MultilayerPerceptron,0.5140879881364311,0.5252617402345823,0.536826495304004,0.007153748150858327,,,,tanh,"(17, 8, 17)"
