estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
RandomForest,0.5096391497775581,0.5262019173178086,0.5390702274975272,0.008852223643113484,,,10,,
DecisionTree,0.5096391497775581,0.5258064405723889,0.5385756676557863,0.008635085382953938,,gini,,,
DecisionTree,0.5096391497775581,0.5258064405723889,0.5385756676557863,0.008635085382953938,,entropy,,,
SupportVectorMachine,0.5096391497775581,0.5258064405723889,0.5385756676557863,0.008635085382953938,100,,,,
SupportVectorMachine,0.5101334651507662,0.5256086899762524,0.5380811078140455,0.008363330081033446,0.1,,,,
MultilayerPerceptron,0.5096391497775581,0.5255098757953174,0.5397923875432526,0.010599075364005017,,,,relu,"(17, 8, 17)"
RandomForest,0.5096391497775581,0.5253119296243546,0.5346191889218596,0.008090697451568797,,,100,,
LinearDiscriminantAnalysis,0.5106277805239743,0.5241746375631767,0.5326409495548962,0.007328043502772219,,,,,
LogisticRegression,0.5106277805239743,0.5240757744885352,0.5326409495548962,0.007310050840450304,10000.0,,,,
LogisticRegression,0.4980217606330366,0.5207127186709909,0.5318833415719229,0.010146171320288302,1.0,,,,
