estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LinearDiscriminantAnalysis,0.4405144694533762,0.5332143968468002,0.603225806451613,0.05510885642874766,,,,,
LogisticRegression,0.4405144694533762,0.5332143968468002,0.603225806451613,0.05510885642874766,1.0,,,,
LogisticRegression,0.4405144694533762,0.5332143968468002,0.603225806451613,0.05510885642874766,10000.0,,,,
BernoulliNaiveBayes,0.4405144694533762,0.5332143968468002,0.603225806451613,0.053323893985600376,,,,,
LogisticRegression,0.4405144694533762,0.5296639352764236,0.603225806451613,0.053739464383334754,0.0001,,,,
SupportVectorMachine,0.45161290322580644,0.5280448086298102,0.6077170418006431,0.045984516398045946,0.1,,,,
SupportVectorMachine,0.45161290322580644,0.52772326522145,0.6045016077170418,0.04543423925876243,100,,,,
MultilayerPerceptron,0.45161290322580644,0.52772326522145,0.6045016077170418,0.04543423925876243,,,,relu,"(17, 8, 17)"
RandomForest,0.45016077170418006,0.5267586349963698,0.5980707395498392,0.04491737334006674,,,100,,
RandomForest,0.45161290322580644,0.5267575977595687,0.5980707395498392,0.044512986578159684,,,10,,
DecisionTree,0.45016077170418006,0.5264360543512084,0.5980707395498392,0.04505027293311552,,gini,,,
DecisionTree,0.45016077170418006,0.5264360543512084,0.5980707395498392,0.04505027293311552,,entropy,,,
MultilayerPerceptron,0.45161290322580644,0.5248190021781973,0.6077170418006431,0.047584582753208385,,,,tanh,"(17, 8, 17)"
K-NearestNeighbor,0.45483870967741935,0.514502644953843,0.5612903225806452,0.03434715841487209,,,,,
QuadraticDiscriminantAnalysis,0.4983922829581994,0.5,0.5016077170418006,0.0007189929188102145,,,,,
