estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
BernoulliNaiveBayes,0.4483870967741935,0.5332081734259931,0.6012861736334405,0.046690749371950065,,,,,
DecisionTree,0.4483870967741935,0.5332081734259931,0.6012861736334405,0.046690749371950065,,gini,,,
DecisionTree,0.4483870967741935,0.5332081734259931,0.6012861736334405,0.046690749371950065,,entropy,,,
RandomForest,0.4483870967741935,0.5332081734259931,0.6012861736334405,0.046690749371950065,,,100,,
SupportVectorMachine,0.4483870967741935,0.5332081734259931,0.6012861736334405,0.046690749371950065,0.1,,,,
SupportVectorMachine,0.4483870967741935,0.5332081734259931,0.6012861736334405,0.046690749371950065,100,,,,
MultilayerPerceptron,0.4483870967741935,0.5332081734259931,0.6012861736334405,0.046690749371950065,,,,relu,"(17, 8, 17)"
LogisticRegression,0.4483870967741935,0.5296597863292191,0.6012861736334405,0.04495789222759731,0.0001,,,,
MultilayerPerceptron,0.4483870967741935,0.5286920443937351,0.6012861736334405,0.04779913754127929,,,,tanh,"(17, 8, 17)"
RandomForest,0.4483870967741935,0.5257888185872834,0.6012861736334405,0.048178622002649205,,,10,,
LogisticRegression,0.4483870967741935,0.5212726895550255,0.6012861736334405,0.046264189074769,1.0,,,,
LinearDiscriminantAnalysis,0.4483870967741935,0.5199865159215848,0.5884244372990354,0.044152473398457015,,,,,
LogisticRegression,0.4483870967741935,0.5199865159215848,0.5884244372990354,0.044152473398457015,10000.0,,,,
K-NearestNeighbor,0.4774193548387097,0.5174183176019085,0.5548387096774193,0.03025404899643263,,,,,
QuadraticDiscriminantAnalysis,0.4983922829581994,0.5077398610102687,0.5290322580645161,0.008709028087630076,,,,,
