estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
DecisionTree,0.4630225080385852,0.5399782180271757,0.6045016077170418,0.039978445587288414,,gini,,,
DecisionTree,0.4630225080385852,0.5399782180271757,0.6045016077170418,0.039978445587288414,,entropy,,,
BernoulliNaiveBayes,0.43729903536977494,0.5374089824706981,0.594855305466238,0.0555889571753974,,,,,
RandomForest,0.45980707395498394,0.5370760294575252,0.6045016077170418,0.0410666040383782,,,100,,
RandomForest,0.44694533762057875,0.5364402032984131,0.5967741935483871,0.04077546595579256,,,10,,
SupportVectorMachine,0.45980707395498394,0.5357867441136811,0.6012861736334405,0.03998415293695179,100,,,,
LogisticRegression,0.43870967741935485,0.5325671610828753,0.594855305466238,0.053842070129437175,1.0,,,,
LinearDiscriminantAnalysis,0.43870967741935485,0.5322456176745151,0.5916398713826366,0.053477493796955926,,,,,
LogisticRegression,0.43870967741935485,0.5322456176745151,0.5916398713826366,0.053477493796955926,10000.0,,,,
LogisticRegression,0.3987138263665595,0.5303225806451612,0.6012861736334405,0.0607288240684509,0.0001,,,,
K-NearestNeighbor,0.47266881028938906,0.528082149154652,0.5838709677419355,0.03646332682662893,,,,,
MultilayerPerceptron,0.45806451612903226,0.526754486049165,0.594855305466238,0.04576006790432905,,,,tanh,"(17, 8, 17)"
SupportVectorMachine,0.45161290322580644,0.526106213048439,0.594855305466238,0.04083668215984089,0.1,,,,
MultilayerPerceptron,0.4290322580645161,0.5203007986723369,0.6077170418006431,0.053125435189633606,,,,relu,"(17, 8, 17)"
QuadraticDiscriminantAnalysis,0.4983922829581994,0.5,0.5016077170418006,0.0007189929188102145,,,,,
