estimator,configuration,feature_selection,precision,recall,f1-measure,auc-roc,brier score
BernoulliNaiveBayes,{},chi2_20p,0.24043715846994534,0.3384615384615385,0.281150159744409,0.5580307692307693,0.2980132450331126
DecisionTree,{'criterion': 'gini'},chi2_20p,0.24043715846994534,0.3384615384615385,0.281150159744409,0.5580307692307693,0.2980132450331126
DecisionTree,{'criterion': 'entropy'},chi2_20p,0.24043715846994534,0.3384615384615385,0.281150159744409,0.5580307692307693,0.2980132450331126
RandomForest,{'n_estimators': 10},chi2_20p,0.24043715846994534,0.3384615384615385,0.281150159744409,0.5580307692307693,0.2980132450331126
RandomForest,{'n_estimators': 100},chi2_20p,0.24043715846994534,0.3384615384615385,0.281150159744409,0.5580307692307693,0.2980132450331126
SupportVectorMachine,{'C': 0.1},chi2_20p,0.24043715846994534,0.3384615384615385,0.281150159744409,0.5580307692307693,0.2980132450331126
SupportVectorMachine,{'C': 100},chi2_20p,0.24043715846994534,0.3384615384615385,0.281150159744409,0.5580307692307693,0.2980132450331126
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",chi2_20p,0.24043715846994534,0.3384615384615385,0.281150159744409,0.5580307692307693,0.2980132450331126
LogisticRegression,{'C': 1.0},chi2_20p,0.24043715846994534,0.3384615384615385,0.281150159744409,0.5580307692307693,0.2980132450331126
LogisticRegression,{'C': 0.0001},chi2_20p,0.24043715846994534,0.3384615384615385,0.281150159744409,0.5580307692307693,0.2980132450331126
LinearDiscriminantAnalysis,{},chi2_50p,0.25316455696202533,0.46153846153846156,0.32697547683923706,0.5891692307692309,0.3271523178807947
LogisticRegression,{'C': 1.0},chi2_50p,0.25316455696202533,0.46153846153846156,0.32697547683923706,0.5891692307692309,0.3271523178807947
LogisticRegression,{'C': 10000.0},chi2_50p,0.25316455696202533,0.46153846153846156,0.32697547683923706,0.5891692307692309,0.3271523178807947
BernoulliNaiveBayes,{},chi2_50p,0.25316455696202533,0.46153846153846156,0.32697547683923706,0.5891692307692309,0.3271523178807947
LogisticRegression,{'C': 0.0001},chi2_50p,0.24444444444444444,0.3384615384615385,0.2838709677419355,0.5604307692307692,0.29403973509933773
SupportVectorMachine,{'C': 0.1},chi2_50p,0.25133689839572193,0.36153846153846153,0.29652996845425866,0.5687692307692308,0.295364238410596
SupportVectorMachine,{'C': 100},chi2_50p,0.3333333333333333,0.23076923076923078,0.27272727272727276,0.5673846153846155,0.2119205298013245
