estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
RandomForest,0.4855305466237942,0.5464246447463956,0.6,0.03541348304884438,,,100,,
DecisionTree,0.4855305466237942,0.5457784462192719,0.6012861736334405,0.03523466826046984,,gini,,,
DecisionTree,0.4855305466237942,0.5457784462192719,0.6012861736334405,0.03523466826046984,,entropy,,,
SupportVectorMachine,0.4887459807073955,0.5454558655741105,0.5980707395498392,0.033906220196672845,100,,,,
RandomForest,0.4855305466237942,0.5444881236386268,0.6012861736334405,0.03517452550549175,,,10,,
MultilayerPerceptron,0.44694533762057875,0.5422435432009128,0.6,0.04369579034571607,,,,relu,"(17, 8, 17)"
BernoulliNaiveBayes,0.4405144694533762,0.5296680842236283,0.5884244372990354,0.05610102602063668,,,,,
MultilayerPerceptron,0.4533762057877814,0.5287190125505653,0.5967741935483871,0.0415157739470615,,,,tanh,"(17, 8, 17)"
SupportVectorMachine,0.4483870967741935,0.5280468831034126,0.6012861736334405,0.04655488229895289,0.1,,,,
LogisticRegression,0.40514469453376206,0.5225816823980914,0.5916398713826366,0.06117691071280699,0.0001,,,,
