estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
BernoulliNaiveBayes,0.4483870967741935,0.5332081734259931,0.6012861736334405,0.046690749371950065,,,,,
DecisionTree,0.4483870967741935,0.5332081734259931,0.6012861736334405,0.046690749371950065,,gini,,,
DecisionTree,0.4483870967741935,0.5332081734259931,0.6012861736334405,0.046690749371950065,,entropy,,,
RandomForest,0.4483870967741935,0.5332081734259931,0.6012861736334405,0.046690749371950065,,,100,,
SupportVectorMachine,0.4483870967741935,0.5332081734259931,0.6012861736334405,0.046690749371950065,0.1,,,,
SupportVectorMachine,0.4483870967741935,0.5332081734259931,0.6012861736334405,0.046690749371950065,100,,,,
MultilayerPerceptron,0.4483870967741935,0.5332081734259931,0.6012861736334405,0.046690749371950065,,,,relu,"(17, 8, 17)"
LogisticRegression,0.4483870967741935,0.5296597863292191,0.6012861736334405,0.04495789222759731,0.0001,,,,
MultilayerPerceptron,0.4483870967741935,0.5286920443937351,0.6012861736334405,0.04779913754127929,,,,tanh,"(17, 8, 17)"
RandomForest,0.4483870967741935,0.5257888185872834,0.6012861736334405,0.048178622002649205,,,10,,
