estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
SupportVectorMachine,0.5098743267504489,0.5700958852275565,0.6409335727109515,0.0435191053257275,0.1,,,,
MultilayerPerceptron,0.5080789946140036,0.5687490640925521,0.6337522441651705,0.041404608540795244,,,,relu,"(17, 8, 17)"
DecisionTree,0.5062836624775583,0.5680308507298066,0.6283662477558348,0.041042904216836054,,gini,,,
DecisionTree,0.5062836624775583,0.5680308507298066,0.6283662477558348,0.041042904216836054,,entropy,,,
RandomForest,0.5053859964093357,0.5676717843025175,0.6274685816876122,0.04139144015952756,,,100,,
SupportVectorMachine,0.5053859964093357,0.5675822592201979,0.6283662477558348,0.04108198859264508,100,,,,
MultilayerPerceptron,0.5098743267504489,0.5674024844820507,0.618491921005386,0.037596885403849055,,,,tanh,"(17, 8, 17)"
RandomForest,0.5044883303411131,0.5653377720169711,0.6274685816876122,0.03988587794986206,,,10,,
LogisticRegression,0.4874326750448833,0.5401176224327957,0.6149012567324955,0.04062043235531516,1.0,,,,
LinearDiscriminantAnalysis,0.4874326750448833,0.5400278558259735,0.6149012567324955,0.04050350308193576,,,,,
LogisticRegression,0.4865350089766607,0.5399380892191512,0.6149012567324955,0.04062079351920057,10000.0,,,,
LogisticRegression,0.4506283662477558,0.5350013283847647,0.6211849192100538,0.05241735873346824,0.0001,,,,
BernoulliNaiveBayes,0.47217235188509876,0.5304228288959915,0.59245960502693,0.03499002741947535,,,,,
K-NearestNeighbor,0.4156193895870736,0.5017924338424133,0.5484739676840216,0.0356283051213364,,,,,
QuadraticDiscriminantAnalysis,0.4524236983842011,0.5011647921681655,0.5291479820627802,0.019776614154424447,,,,,
