estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LinearDiscriminantAnalysis,0.4829443447037702,0.5505294217098325,0.6508078994614004,0.051617596947869736,,,,,
LogisticRegression,0.4829443447037702,0.5505294217098325,0.6508078994614004,0.051617596947869736,1.0,,,,
LogisticRegression,0.4829443447037702,0.5505294217098325,0.6508078994614004,0.051617596947869736,10000.0,,,,
LogisticRegression,0.47755834829443444,0.5480164397678144,0.6508078994614004,0.05332085563226276,0.0001,,,,
MultilayerPerceptron,0.47755834829443444,0.548015795702474,0.6355475763016158,0.047998332307902514,,,,relu,"(17, 8, 17)"
DecisionTree,0.47755834829443444,0.5475669626683628,0.6355475763016158,0.0476338165810746,,gini,,,
DecisionTree,0.47755834829443444,0.5475669626683628,0.6355475763016158,0.0476338165810746,,entropy,,,
RandomForest,0.47755834829443444,0.5466692966001401,0.6355475763016158,0.04699498258127281,,,10,,
RandomForest,0.47755834829443444,0.5466692966001401,0.6355475763016158,0.04699498258127281,,,100,,
SupportVectorMachine,0.47755834829443444,0.5457716305319175,0.6355475763016158,0.04766728612512679,0.1,,,,
SupportVectorMachine,0.47755834829443444,0.5457716305319175,0.6355475763016158,0.04766728612512679,100,,,,
BernoulliNaiveBayes,0.4829443447037702,0.5398471954979833,0.5942549371633752,0.03935697090984674,,,,,
QuadraticDiscriminantAnalysis,0.4829443447037702,0.5343778731352296,0.6508078994614004,0.05243528078845543,,,,,
MultilayerPerceptron,0.4829443447037702,0.5305138836334946,0.5843806104129264,0.03487120113824419,,,,tanh,"(17, 8, 17)"
K-NearestNeighbor,0.46947935368043087,0.5066358857106052,0.5704035874439461,0.030772934872631295,,,,,
