estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
LinearDiscriminantAnalysis,0.48114901256732495,0.548644322966565,0.6355475763016158,0.049438402764925636,,,,,
LogisticRegression,0.48114901256732495,0.548644322966565,0.6355475763016158,0.049438402764925636,1.0,,,,
LogisticRegression,0.48114901256732495,0.548644322966565,0.6355475763016158,0.049438402764925636,10000.0,,,,
LogisticRegression,0.47755834829443444,0.5462211076313692,0.6355475763016158,0.05108227831296303,0.0001,,,,
DecisionTree,0.47755834829443444,0.5458613971387398,0.6202872531418312,0.04541379644580806,,gini,,,
DecisionTree,0.47755834829443444,0.5458613971387398,0.6202872531418312,0.04541379644580806,,entropy,,,
RandomForest,0.47755834829443444,0.5458613971387398,0.6202872531418312,0.04541379644580806,,,10,,
RandomForest,0.47755834829443444,0.5458613971387398,0.6202872531418312,0.04541379644580806,,,100,,
SupportVectorMachine,0.47755834829443444,0.5458613971387398,0.6202872531418312,0.04541379644580806,0.1,,,,
SupportVectorMachine,0.47755834829443444,0.5458613971387398,0.6202872531418312,0.04541379644580806,100,,,,
MultilayerPerceptron,0.47755834829443444,0.5458613971387398,0.6202872531418312,0.04541379644580806,,,,relu,"(17, 8, 17)"
MultilayerPerceptron,0.47755834829443444,0.5453227974978062,0.6355475763016158,0.048342411450485755,,,,tanh,"(17, 8, 17)"
QuadraticDiscriminantAnalysis,0.48114901256732495,0.5416489682878328,0.6355475763016158,0.05080937926005863,,,,,
BernoulliNaiveBayes,0.48114901256732495,0.5387699962161161,0.5942549371633752,0.04006812185146719,,,,,
K-NearestNeighbor,0.46409335727109513,0.5017884889422033,0.5704035874439461,0.02901653349671727,,,,,
