estimator,min_score,mean_score,max_score,std_score,C,criterion,n_estimators,activation,hidden_layer_sizes
MultilayerPerceptron,0.5116696588868941,0.5729680946131986,0.6454219030520646,0.04615611465926342,,,,tanh,"(17, 8, 17)"
MultilayerPerceptron,0.5107719928186715,0.571710798560514,0.6454219030520646,0.045134454359683863,,,,relu,"(17, 8, 17)"
SupportVectorMachine,0.5089766606822262,0.5716213539863619,0.6481149012567325,0.04696242187645923,100,,,,
DecisionTree,0.5089766606822262,0.5709930682467736,0.6454219030520646,0.04658885576799741,,gini,,,
DecisionTree,0.5089766606822262,0.5709930682467736,0.6454219030520646,0.04658885576799741,,entropy,,,
RandomForest,0.5089766606822262,0.5707236074099717,0.6463195691202872,0.04716661395035919,,,100,,
SupportVectorMachine,0.5017953321364452,0.5691090161096842,0.6436265709156194,0.0488019462115338,0.1,,,,
RandomForest,0.507181328545781,0.5672228707602386,0.6454219030520646,0.04358888093657665,,,10,,
LogisticRegression,0.48025134649910234,0.5430796789334278,0.6265709156193896,0.04340653000097594,1.0,,,,
LinearDiscriminantAnalysis,0.48025134649910234,0.5429002262279508,0.6265709156193896,0.04327146780016321,,,,,
LogisticRegression,0.48025134649910234,0.5428104596211286,0.6265709156193896,0.043381646269692556,10000.0,,,,
LogisticRegression,0.4506283662477558,0.5358986724203171,0.63016157989228,0.05501521235012363,0.0001,,,,
BernoulliNaiveBayes,0.473967684021544,0.5308711788810975,0.5888689407540395,0.03447178757273195,,,,,
K-NearestNeighbor,0.4129263913824057,0.5119385561665232,0.578096947935368,0.04573998915838654,,,,,
QuadraticDiscriminantAnalysis,0.47217235188509876,0.5060143626570917,0.5610412926391383,0.025761199654285596,,,,,
