estimator,configuration,feature_selection,precision,recall,f1-measure,auc-roc,brier score
LinearDiscriminantAnalysis,{},chi2_20p,0.39079790331974373,0.7199570815450643,0.5066062665156663,0.5796998698186201,0.4671193709792709
LogisticRegression,{'C': 1.0},chi2_20p,0.39079790331974373,0.7199570815450643,0.5066062665156663,0.5796998698186201,0.4671193709792709
LogisticRegression,{'C': 10000.0},chi2_20p,0.39079790331974373,0.7199570815450643,0.5066062665156663,0.5796998698186201,0.4671193709792709
LogisticRegression,{'C': 0.0001},chi2_20p,0.389761489237929,0.7188841201716738,0.5054696341003395,0.5783595306110244,0.46854896354538955
MultilayerPerceptron,"{'activation': 'relu', 'hidden_layer_sizes': (17, 8, 17)}",chi2_20p,0.3816656680647094,0.6834763948497854,0.48981161091887737,0.5652108662351821,0.4742673338098642
DecisionTree,{'criterion': 'gini'},chi2_20p,0.3816656680647094,0.6834763948497854,0.48981161091887737,0.5652108662351821,0.4742673338098642
DecisionTree,{'criterion': 'entropy'},chi2_20p,0.3816656680647094,0.6834763948497854,0.48981161091887737,0.5652108662351821,0.4742673338098642
RandomForest,{'n_estimators': 10},chi2_20p,0.3816656680647094,0.6834763948497854,0.48981161091887737,0.5652108662351821,0.4742673338098642
RandomForest,{'n_estimators': 100},chi2_20p,0.3816656680647094,0.6834763948497854,0.48981161091887737,0.5652108662351821,0.4742673338098642
SupportVectorMachine,{'C': 0.1},chi2_20p,0.3816656680647094,0.6834763948497854,0.48981161091887737,0.5652108662351821,0.4742673338098642
DecisionTree,{'criterion': 'gini'},chi2_50p,0.3992297817715019,0.6673819742489271,0.49959839357429725,0.5828871286035633,0.4453180843459614
DecisionTree,{'criterion': 'entropy'},chi2_50p,0.3992297817715019,0.6673819742489271,0.49959839357429725,0.5828871286035633,0.4453180843459614
RandomForest,{'n_estimators': 100},chi2_50p,0.3992297817715019,0.6673819742489271,0.49959839357429725,0.5828871286035633,0.4453180843459614
RandomForest,{'n_estimators': 10},chi2_50p,0.3989737010904426,0.6673819742489271,0.4993978321959053,0.582619175763263,0.44567548248749106
SupportVectorMachine,{'C': 100},chi2_50p,0.39961636828644503,0.6706008583690987,0.5008012820512822,0.5836927121427488,0.4453180843459614
